trialJobId,activation,intermediate,optimizer,dropout,test_frac,learning_rate,layer_1,preweight,epochs,batch_size,layer_2,train_frac,regularization,reward
ZJpVa,elu,"[0.9779761904761906,0.9827460079484067]",adam,0.11989366071070294,0.15,0.002218496733964242,172,32,200,50,59,0.7,0.01652166533735435,0.9827460079484067
SO1Fi,elu,"[0.981547619047619,0.9910076887360851]",adam,0.04423812821703922,0.15,0.0007611120290658312,154,50,200,70,118,0.7,0.03604270490077377,0.9910076887360851
e5sLw,relu,"[0.9782738095238095,0.9846254978463722]",adam,0.1774500087076703,0.15,0.0003469865301193769,196,28,200,5,100,0.7,0.058571451274654095,0.9846254978463722
hWeSS,elu,"[0.9705357142857143,0.9821315929336004]",adam,0.19407500187987392,0.15,0.0010262373427953628,146,42,200,30,10,0.7,0.04169865659578152,0.9821315929336004
Z5lBs,tanh,"[0.9723214285714287,0.958951050727026]",adam,0.22154039014329113,0.15,3.263190337503881e-05,111,53,200,100,91,0.7,0.052209369599959976,0.958951050727026
i5Vmw,elu,"[0.9782738095238095,0.9892236741281042]",adam,0.06690235594030797,0.15,0.001697899231543549,183,39,200,50,140,0.7,0.0455940813411567,0.9892236741281042
iQNPN,elu,"[0.9773809523809522,0.9886445770805375]",adam,0.14141364350931776,0.15,0.00438630546292189,176,61,200,5,103,0.7,0.028777788593866625,0.9886445770805375
ocK1B,elu,"[0.975595238095238,0.989880841253839]",adam,0.08674444531391931,0.15,6.341857536174518e-05,115,35,200,10,78,0.7,0.009220317759096867,0.989880841253839
ljfjU,relu,"[0.7523809523809525,0.7558176763635942]",SGD,0.0010214858442738096,0.15,0.0002458962375011716,121,34,200,50,95,0.7,0.03425672892215746,0.7558176763635942
xSyGx,elu,"[0.979761904761905,0.9910483712130024]",adam,0.10302953795478555,0.15,0.007676302017482914,97,67,200,30,178,0.7,0.03973248559227566,0.9910483712130024
vGR3s,elu,"[0.9797619047619047,0.9831545417620472]",adam,0.03485748239602153,0.15,0.015398465827793412,200,45,200,100,66,0.7,0.049912584844873355,0.9831545417620472
e2dUA,elu,"[0.6970238095238095,0.9626277700116306]",adam,0.05309753596286249,0.15,0.026722030759790356,163,47,200,5,15,0.7,0.04375071868329418,0.9626277700116306
ykIEt,relu,"[0.9681547619047619,0.9876365014296049]",adam,0.1569764596090581,0.15,0.003118100863595897,87,41,200,50,82,0.7,0.02566120298420192,0.9876365014296049
Wy5ed,elu,"[0.9764880952380952,0.9882639142613566]",adam,0.16713037424380714,0.15,0.0006199553741622168,187,40,200,70,170,0.7,0.05592709583864523,0.9882639142613566
twsJc,tanh,"[0.9782738095238095,0.979206986398163]",adam,0.12411045151395585,0.15,9.384068753619232e-05,14,37,200,50,152,0.7,0.03775147046643049,0.979206986398163
QeC5Z,elu,"[0.9761904761904763,0.9947235068972595]",adam,0.012750241837685847,0.15,0.0004140585104057985,158,51,200,5,39,0.7,0.01855665220067048,0.9947235068972595
nBVi5,elu,"[0.9824404761904763,0.9912551674661529]",adam,0.07856323208252705,0.15,0.001128304474220184,191,49,200,30,158,0.7,0.04733157448648795,0.9912551674661529
WcMgR,elu,"[0.9467261904761906,0.945783450688829]",SGD,0.1136560037878453,0.15,0.005076060162584641,65,60,200,100,121,0.7,0.022170178407712328,0.945783450688829
