trialJobId,optimizer,intermediate,learning_rate,epochs,regularization,layer_1,preweight,train_frac,activation,reward,batch_size,dropout,layer_2,test_frac
zJrsF,adam,"[0.5223057644110275,0.7170969420156726]",0.01130679118364182,200,0.005977673599725529,118,39,0.7,relu,0.7170969420156726,100,0.3399803583618056,124,0.15
Sn0gC,adam,"[0.5348370927318296,0.7200429166244448]",0.0006480551537069227,200,0.0035393096195236577,132,51,0.7,relu,0.7200429166244448,100,0.17329195900994135,135,0.15
X5Kbs,adam,"[0.5358395989974938,0.7129341075161509]",0.007369329285535265,200,0.008753586225915086,89,45,0.7,tanh,0.7129341075161509,50,0.2531543226659158,73,0.15
DF9iA,adam,"[0.5285714285714286,0.6715049996169273]",0.014856050968086126,200,0.012035130644773406,141,42,0.7,elu,0.6715049996169273,5,0.1850527010453927,104,0.15
c7aW4,adam,"[0.5812030075187969,0.6939071645262006]",0.0758205773010416,200,8.187434974493615e-05,109,47,0.7,relu,0.6939071645262006,100,0.14490746801905255,79,0.15
qOG8n,adam,"[0.5568922305764412,0.6829042257085021]",0.003354841939934492,200,0.016633265840999105,146,49,0.7,relu,0.6829042257085021,70,0.16054083765040209,120,0.15
LzwuQ,SGD,"[0.7112781954887217,0.6247034013015171]",0.005307184796997963,200,0.004437771199825817,127,52,0.7,elu,0.6247034013015171,100,0.13705921132200083,89,0.15
GJ4V2,adam,"[0.5714285714285715,0.6961357603681184]",0.0021774131723852792,200,0.010088628315754977,105,41,0.7,relu,0.6961357603681184,10,0.20812163018234248,85,0.15
n5EwJ,adam,"[0.5774436090225563,0.6780675435984025]",0.0010267006934875978,200,0.007078608019844184,112,44,0.7,relu,0.6780675435984025,5,0.16764621815721348,57,0.15
JylWB,adam,"[0.5919799498746868,0.7430797193034253]",0.00970394213446869,200,0.0015247627389928795,101,48,0.7,tanh,0.7430797193034253,100,0.1933813584017005,111,0.15
T4ZpJ,adam,"[0.5398496240601505,0.7158459774429649]",0.0015612353530029463,200,0.005597156760649696,116,37,0.7,relu,0.7158459774429649,30,0.3115678958505212,200,0.15
R542n,adam,"[0.5974937343358396,0.7147011328504096]",0.002546140514825632,200,0.003332068541970538,123,46,0.7,elu,0.7147011328504096,100,0.11612630555179884,116,0.15
hm1yq,adam,"[0.5824561403508772,0.6963908055890978]",0.006436057245253627,200,0.011852304201997638,136,50,0.7,relu,0.6963908055890978,100,0.17802824286182095,64,0.15
mzfaB,adam,"[0.5528822055137845,0.6963967865708495]",0.003819050032618975,200,0.009076844237505708,130,40,0.7,relu,0.6963967865708495,5,0.13171168590872578,68,0.15
df2ek,adam,"[0.5902255639097744,0.691516607331548]",0.03560188403255176,200,0.00013179491076721338,140,53,0.7,relu,0.691516607331548,100,0.20490008390424902,100,0.15
XRdNg,adam,"[0.5804511278195489,0.6933274975672242]",0.0005030806666863925,200,0.00010301163229923952,167,51,0.7,tanh,0.6933274975672242,10,0.21695274339247986,94,0.15
hR7q0,adam,"[0.5142857142857142,0.7008907461788785]",0.0008325736217968191,200,0.01881109395592375,161,43,0.7,elu,0.7008907461788785,50,0.32661787236018663,147,0.15
JotPn,SGD,"[0.5919799498746866,0.6285646869470398]",0.017375511794995545,200,0.014045771433179768,96,45,0.7,relu,0.6285646869470398,100,0.18964388178506422,105,0.15
RKKGK,adam,"[0.5283208020050125,0.7112071419534413]",0.008803205709358709,200,0.007244526761257614,134,49,0.7,relu,0.7112071419534413,100,0.29182601975465233,128,0.15
pIqwK,adam,"[0.5759398496240602,0.6641828045320691]",0.0017627471115292963,200,0.0034098853513536234,78,47,0.7,relu,0.6641828045320691,5,0.15369820481715277,49,0.15
XJo1J,adam,"[0.512280701754386,0.6675875350140057]",0.00467477305110637,200,0.022146659362531622,144,39,0.7,elu,0.6675875350140057,100,0.23712341401825168,166,0.15
OVtct,adam,"[0.562406015037594,0.7102415517489047]",0.002816009391627483,200,0.005461594973403067,70,34,0.7,relu,0.7102415517489047,70,0.16993485596437596,123,0.15
K1Mvo,adam,"[0.5609022556390977,0.6793039949353139]",0.012214895487635189,200,0.0014580131125637285,126,42,0.7,tanh,0.6793039949353139,100,0.1992723787486027,76,0.15
Qb0x3,adam,"[0.568922305764411,0.7436425881055881]",0.0013225232221329253,200,0.00941134605862714,36,44,0.7,relu,0.7436425881055881,10,0.18097941041684762,84,0.15
ZKUPN,adam,"[0.5353383458646617,0.6787606753685382]",0.007249760206204742,200,0.01142913354735484,118,46,0.7,elu,0.6787606753685382,5,0.2785508104848219,96,0.15
nhefk,adam,"[0.5624060150375941,0.7006659416638653]",0.005341991174781896,200,0.02957975446605165,151,36,0.7,relu,0.7006659416638653,100,0.22560493975229226,90,0.15
FAfaL,adam,"[0.5551378446115288,0.7440768690067976]",0.02206722398752293,200,9.562286595425694e-05,107,49,0.7,relu,0.7440768690067976,30,0.14784904509880453,113,0.15
yT4Xx,adam,"[0.5639097744360902,0.7230239183312055]",0.0021934616927218914,200,0.015597004983297557,121,48,0.7,relu,0.7230239183312055,100,0.1623303853585512,107,0.15
asy4N,adam,"[0.5017543859649123,0.707665398118556]",0.0006767171094171273,200,7.247817432638227e-05,158,52,0.7,tanh,0.707665398118556,100,0.1841180958498693,71,0.15
waMag,SGD,"[0.5526315789473685,0.6634599572733373]",0.003676238577681839,200,0.003469106632607509,131,43,0.7,elu,0.6634599572733373,5,0.174809875674368,81,0.15
mLOE5,adam,"[0.6020050125313283,0.6959946807031908]",0.027861763242576956,200,0.007041117745667028,137,45,0.7,relu,0.6959946807031908,100,0.10834418216514323,12,0.15
JE9rC,adam,"[0.6012531328320803,0.7212425738409446]",0.009709424766659373,200,6.079339977830872e-05,112,41,0.7,relu,0.7212425738409446,10,0.2161157151795366,100,0.15
o5DuO,adam,"[0.5328320802005012,0.7180811914208499]",0.0011390849851067423,200,0.004925547653688661,148,50,0.7,relu,0.7180811914208499,100,0.24498363044554597,139,0.15
qtypb,adam,"[0.5363408521303258,0.6543750386778859]",0.05161287782022632,200,0.0019862341128830583,101,54,0.7,elu,0.6543750386778859,50,0.3031376025191487,78,0.15
H47o4,adam,"[0.5639097744360902,0.7166401302862188]",0.014087900792589727,200,0.008163430402236887,125,47,0.7,relu,0.7166401302862188,100,0.15570877174804715,133,0.15
lZyaP,adam,"[0.5167919799498748,0.7295690271423714]",0.0029999707581974564,200,0.012950252875534859,116,38,0.7,tanh,0.7295690271423714,5,0.19506484979977173,87,0.15
cI7kj,adam,"[0.5513784461152883,0.6732297857566231]",0.00665397582180108,200,0.010328708376803516,129,42,0.7,relu,0.6732297857566231,100,0.2031958774459259,118,0.15
AMPCK,adam,"[0.524812030075188,0.6659290382819795]",0.001699900436916394,200,0.006146478305335336,91,46,0.7,elu,0.6659290382819795,70,0.14139294618796028,103,0.15
Oc8q9,adam,"[0.5984962406015037,0.7505940689313428]",0.002195486416135716,200,0.002054133381005076,154,51,0.7,relu,0.7505940689313428,100,0.3678970517847932,30,0.15
tvtga,adam,"[0.6280701754385964,0.7444228264433537]",0.004448790292335508,200,0.003901138736634573,142,12,0.7,relu,0.7444228264433537,10,0.1249042395926794,109,0.15
YJ17h,adam,"[0.5859649122807018,0.7129205838811392]",0.011359295668659,200,6.990902754552396e-05,163,53,0.7,relu,0.7129205838811392,5,0.24956456002350552,92,0.15
xxWhR,SGD,"[0.7167919799498748,0.5436849888562415]",0.00568659492818025,200,0.01709111430129972,122,29,0.7,tanh,0.5436849888562415,100,0.21109823826696117,124,0.15
dMZTs,adam,"[0.5719298245614035,0.7447771885022124]",0.000932604296191628,200,0.007716824736608854,83,40,0.7,elu,0.7447771885022124,100,0.2592556205866055,53,0.15
E49Cb,adam,"[0.5538847117794486,0.7059514221539186]",0.003356235468344552,200,0.01059817910224401,138,44,0.7,relu,0.7059514221539186,30,0.22984234283380583,97,0.15
BN8eT,adam,"[0.4912280701754386,0.6951542535291582]",0.01965534761974793,200,0.005147367643454421,133,48,0.7,relu,0.6951542535291582,100,0.16807156018034577,61,0.15
DyR6i,adam,"[0.5,0.5738094791751517]",0.000568209256055016,200,0.09691980004699355,168,37,0.7,relu,0.5738094791751517,5,0.18828272607660343,74,0.15
kVeYf,adam,"[0.5598997493734336,0.7020774758891231]",0.008308551294046956,200,0.013781266017431074,108,45,0.7,elu,0.7020774758891231,100,0.13547418845539702,68,0.15
Z7LM7,adam,"[0.5664160401002507,0.6583033232843479]",0.001310695214285348,200,0.0031482983754757142,114,42,0.7,relu,0.6583033232843479,10,0.14790133998188942,111,0.15
NEb9s,adam,"[0.6233082706766918,0.6665426482398]",0.002679711091272193,200,0.08917683503084076,146,49,0.7,tanh,0.6665426482398,100,0.16140918901368875,82,0.15
mB9hn,adam,"[0.5669172932330827,0.7086605833682447]",0.0038520996110829463,200,0.008081498648385223,118,39,0.7,relu,0.7086605833682447,50,0.17467865291662582,128,0.15
zNIuO,adam,"[0.5167919799498748,0.7497709677663238]",0.00044911134043548615,200,0.006217056559044851,104,51,0.7,elu,0.7497709677663238,100,0.35580614889492534,87,0.15
Ez4Ti,adam,"[0.5709273182957395,0.7303680249629444]",0.0018271892361189806,200,0.0017190667120578571,127,54,0.7,relu,0.7303680249629444,5,0.19748758019068668,115,0.15
wUC2C,adam,"[0.5443609022556392,0.6932662951530703]",0.0164315516947375,200,0.011999630730502805,98,44,0.7,relu,0.6932662951530703,100,0.184875663065475,93,0.15
uWe4E,SGD,"[0.5889724310776941,0.4959792665804851]",0.000750069560623811,200,0.009653943459147999,134,47,0.7,relu,0.4959792665804851,70,0.2079168201232704,105,0.15
RM2Rn,adam,"[0.5378446115288221,0.6694478201529539]",0.005504392257908885,200,0.003687745151438899,123,41,0.7,tanh,0.6694478201529539,100,0.2211033817610875,99,0.15
