test_frac,reward,layer_1,train_frac,batch_size,preweight,intermediate,activation,trialJobId,learning_rate,optimizer,epochs,layer_2,regularization,dropout
0.15,0.6385991333307918,140,0.7,50,10,"[0.5959899749373434,0.6385991333307918]",relu,qIb4x,0.4154122477357976,adam,200,105,0.010510499271037256,0.29310324206154914
0.15,0.6473110172099142,71,0.7,50,19,"[0.5654135338345865,0.6473110172099142]",relu,hbEsK,0.0068503281455284636,adam,200,99,0.014743308789936509,0.3773450615426697
0.15,0.7040042443259356,139,0.7,30,24,"[0.6095238095238096,0.7040042443259356]",relu,pdgPj,0.19744022651232887,adam,200,108,0.00015826369059124962,0.24789993659757173
0.15,0.6894238532203454,11,0.7,30,26,"[0.5318295739348371,0.6894238532203454]",relu,Jzm4D,0.13970021417733844,adam,200,184,0.0013619147917605069,0.35392469595501397
0.15,0.7262553396424364,166,0.7,30,15,"[0.5568922305764411,0.7262553396424364]",elu,IJ7KA,0.015965459696975416,adam,200,116,0.035206454349101364,0.2807830744210702
0.15,0.7310225308497553,197,0.7,30,15,"[0.569423558897243,0.7310225308497553]",elu,i8Lbl,0.0016484069154232158,adam,200,122,0.035301261576446245,0.29380110518471503
0.15,0.691460915744597,31,0.7,10,16,"[0.5383458646616541,0.691460915744597]",elu,yIgDY,0.00295461222999022,adam,200,92,0.04184078292005715,0.33137472058194123
0.15,0.6344021948955534,38,0.7,30,24,"[0.6230576441102758,0.6344021948955534]",elu,xGePe,0.0002286081957324333,adam,200,142,0.05545502258336743,0.21228698162778015
0.15,0.6144045223172357,196,0.7,30,70,"[0.5488721804511278,0.6144045223172357]",elu,R3aPd,0.0017970497498039303,adam,200,61,0.06359176722826632,0.36692143889239315
0.15,0.6698307210950161,168,0.7,10,14,"[0.6025062656641604,0.6698307210950161]",elu,c8a8v,7.163909985793138e-05,adam,200,121,0.02389301747258598,0.27683401174948374
0.15,0.6590848627743945,80,0.7,30,38,"[0.5944862155388472,0.6590848627743945]",elu,OCoNQ,0.0004605134886611828,adam,200,144,0.02886508743669815,0.3112615510041131
0.15,0.6590585580958097,47,0.7,100,28,"[0.5478696741854636,0.6590585580958097]",elu,DEF0v,0.0070966749498120475,adam,200,186,0.03855622207484935,0.39185588894786605
0.15,0.7085682994325557,194,0.7,30,21,"[0.6160401002506266,0.7085682994325557]",elu,blAbR,0.030652222578011454,adam,200,58,0.04871724466493921,0.2231225460249297
0.15,0.6825862786546706,27,0.7,30,13,"[0.5538847117794486,0.6825862786546706]",elu,R8WeL,0.0014828946509743788,adam,200,89,0.028262000585341597,0.2668755254326473
0.15,0.6739542358184971,127,0.7,70,38,"[0.5829573934837093,0.6739542358184971]",elu,jOSFA,0.00036972224534847966,adam,200,132,0.008968473676469448,0.31813665978707567
0.15,0.6364393827706522,64,0.7,100,17,"[0.5779448621553887,0.6364393827706522]",elu,mGd8F,0.00012222981442603425,adam,200,113,0.01903615744840674,0.3977136676484582
0.15,0.6427818107761972,163,0.7,10,23,"[0.5,0.6427818107761972]",elu,pydvY,0.017857854757886225,adam,200,178,0.06514686423914239,0.35225647041632135
0.15,0.5332155619127867,83,0.7,30,32,"[0.5223057644110276,0.5332155619127867]",elu,OuuUJ,2.617689025775362e-06,adam,200,52,0.049850282977021834,0.1934853711121047
0.15,0.6097197631055628,172,0.7,70,28,"[0.6421052631578947,0.6097197631055628]",elu,T8rSO,5.467140761385918e-05,adam,200,71,0.008672564427429554,0.2955647983326713
0.15,0.6290206128521492,156,0.7,30,12,"[0.6080200501253132,0.6290206128521492]",elu,OJXfq,0.0526651456031399,SGD,200,126,0.038660691474614435,0.1297567102545195
0.15,0.6423936435081946,199,0.7,5,35,"[0.5413533834586467,0.6423936435081946]",elu,n84iB,0.0027927067131794615,adam,200,12,0.02025995383150387,0.334910620595689
0.15,0.7048766598004312,186,0.7,100,22,"[0.524310776942356,0.7048766598004312]",elu,HuFX7,0.006650052400909382,adam,200,20,0.029696802324927492,0.257903215532131
