batch_size,epochs,regularization,reward,layer_2,activation,intermediate,layer_1,test_frac,trialJobId,train_frac,dropout,learning_rate,optimizer,preweight
50,200,0.07097608126657685,0.9866108843856521,74,relu,"[0.9720238095238095,0.9866108843856521]",120,0.15,U0Et7,0.7,0.3631946962543925,0.025353266421832277,adam,40
50,200,0.05155189220330554,0.9905501713737401,67,relu,"[0.9764880952380952,0.9905501713737401]",107,0.15,FfxKI,0.7,0.396225722286705,0.0192503994847272,adam,42
30,200,0.046512221171674,0.9915936301309284,55,relu,"[0.9803571428571429,0.9915936301309284]",107,0.15,qJEJC,0.7,0.39741156953962253,0.020567478622440107,adam,42
30,200,0.03858812826774152,0.9957311000928423,50,relu,"[0.9797619047619047,0.9957311000928423]",70,0.15,qSB1r,0.7,0.3944294482597185,0.00837259265590362,adam,45
30,200,0.041598841055922146,0.9922453275526738,45,relu,"[0.9821428571428571,0.9922453275526738]",65,0.15,iayDZ,0.7,0.33647290396806145,0.007740772277014991,adam,44
30,200,0.03050080581351557,0.9905888767683761,52,relu,"[0.9857142857142858,0.9905888767683761]",59,0.15,tN8ht,0.7,0.3329237972455483,0.00843051793575195,adam,46
30,200,0.042655355869371955,0.9920421508316245,43,relu,"[0.9818452380952379,0.9920421508316245]",82,0.15,vMZpn,0.7,0.23223342278873593,0.0010698163624027466,adam,67
30,200,0.03355442343858941,0.974191628804632,108,relu,"[0.9773809523809526,0.974191628804632]",53,0.15,FCLBz,0.7,0.3374009107226937,0.00030526404954415266,adam,28
30,200,0.02481216058449004,0.985931048685243,13,relu,"[0.9663690476190476,0.985931048685243]",69,0.15,D6PJ1,0.7,0.2511452858791089,0.0936553509611522,adam,45
30,200,0.051650557117499,0.9877334064060406,61,tanh,"[0.9791666666666666,0.9877334064060406]",41,0.15,AbG8y,0.7,0.35708239123277097,0.007158175222974341,adam,27
70,200,0.006534610509953104,0.9641412104179354,92,relu,"[0.9619047619047618,0.9641412104179354]",63,0.15,eOB07,0.7,0.33821714875169995,4.968419936448522e-05,adam,37
10,200,0.02347962883598063,0.7806552883445543,39,relu,"[0.5598214285714286,0.7806552883445543]",88,0.15,pWLjc,0.7,0.30750389284922325,0.3995316914405543,adam,60
30,200,0.06718464876058944,0.9904979478487534,121,relu,"[0.9773809523809526,0.9904979478487534]",51,0.15,gM4Mn,0.7,0.3750301206503987,0.0008682558080281698,adam,52
5,200,0.0559548808979834,0.9854008366534466,81,relu,"[0.9714285714285715,0.9854008366534466]",73,0.15,F9R05,0.7,0.19288841929115982,0.011076882880364293,adam,37
30,200,0.045611045560583444,0.9790976788889674,100,tanh,"[0.9827380952380953,0.9790976788889674]",35,0.15,mbuHq,0.7,0.3560720669981835,0.002951067928127347,adam,57
30,200,0.037691732137718856,0.9891464135763612,51,relu,"[0.9672619047619048,0.9891464135763612]",95,0.15,QXcZN,0.7,0.24504509951882691,0.058580403260938385,adam,69
5,200,0.03420019730088099,0.95284939211255,12,relu,"[0.5663690476190476,0.95284939211255]",17,0.15,SdlF9,0.7,0.10944451722811963,0.18847140359982123,adam,26
30,200,0.0790496391826995,0.9919814098849494,32,tanh,"[0.975,0.9919814098849494]",118,0.15,gEjfW,0.7,0.39745280306755976,0.0004741194443846263,adam,44
10,200,0.02031822677852326,0.9866899486859442,120,relu,"[0.9839285714285714,0.9866899486859442]",184,0.15,L5z3Q,0.7,0.29005960658931734,0.0020841625140217064,adam,61
30,200,0.06420639552828958,0.9563556426971781,66,relu,"[0.9550595238095239,0.9563556426971781]",86,0.15,DuxHD,0.7,0.10817724530509187,0.004585823678512138,SGD,49
70,200,0.05538483913672368,0.9703333659259806,43,relu,"[0.9699404761904761,0.9703333659259806]",64,0.15,agH6w,0.7,0.32365174347985876,0.00011455560450618079,adam,53
100,200,0.027143067782139277,0.9911631138675364,99,elu,"[0.9773809523809524,0.9911631138675364]",78,0.15,cS7Za,0.7,0.2673310530087561,0.05852119551344209,SGD,30
30,200,0.0476807310917879,0.9916517115270022,91,tanh,"[0.9723214285714287,0.9916517115270022]",49,0.15,YpOJa,0.7,0.38071109651545343,0.012138527100540798,adam,66
5,200,0.0414314159533344,0.9918487394957983,130,relu,"[0.9758928571428571,0.9918487394957983]",30,0.15,VunDs,0.7,0.20995660702974378,0.0014831261193118334,adam,38
