train_frac,dropout,activation,trialJobId,layer_1,learning_rate,optimizer,regularization,reward,test_frac,epochs,preweight,intermediate,batch_size,layer_2
0.7,0.21546984443726971,elu,XfZG5,106,0.0005351898488992017,adam,0.052085101535980734,0.9862645112825111,0.15,200,70,"[0.9818452380952379,0.9862645112825111]",70,116
0.7,0.2609441461647828,elu,jczEr,74,0.017726664514380697,adam,0.08452343550706712,0.9428768099716376,0.15,200,65,"[0.6907738095238095,0.9428768099716376]",10,169
0.7,0.2455846169772853,relu,jmwor,131,0.004182189095131078,adam,0.04228152345023541,0.9877825097838777,0.15,200,60,"[0.9761904761904763,0.9877825097838777]",30,17
0.7,0.32430436257414447,elu,ijCEA,127,0.0023347371886362133,adam,0.01749528393511711,0.9833699907948052,0.15,200,58,"[0.9726190476190476,0.9833699907948052]",5,182
0.7,0.33905280830092394,elu,oGNcA,116,0.0011279906637917945,adam,0.01624677922213332,0.987863786005537,0.15,200,62,"[0.9764880952380952,0.987863786005537]",5,191
0.7,0.31268036944508776,elu,SELRA,119,0.002261647268422897,adam,0.00686249167569996,0.979738659785246,0.15,200,64,"[0.9601190476190476,0.979738659785246]",5,187
0.7,0.33009556417773284,elu,X9rzx,122,0.0033934815665320897,adam,0.01305911777084063,0.9773420210605565,0.15,200,59,"[0.974702380952381,0.9773420210605565]",5,200
0.7,0.32183434254285376,elu,xa50e,125,0.0013883756336379905,adam,0.01962411843213503,0.9868981112656249,0.15,200,57,"[0.9705357142857144,0.9868981112656249]",5,176
0.7,0.3578893186662302,elu,mUfmz,113,0.005134560597263809,adam,0.014926739616157914,0.9855084033613446,0.15,200,61,"[0.9764880952380952,0.9855084033613446]",5,174
0.7,0.3419653660877369,elu,rIIIw,133,0.0018212628212277819,adam,0.011369688657329104,0.9773250164083386,0.15,200,64,"[0.9788690476190476,0.9773250164083386]",5,185
0.7,0.3497681437071681,elu,LSKkk,109,0.0008337031839201154,adam,0.009881947572647343,0.9873010124223596,0.15,200,60,"[0.9645833333333333,0.9873010124223596]",5,195
0.7,0.31648766520921323,elu,eLg5N,130,0.0029453320612830222,adam,0.021948451604792706,0.9875134426976532,0.15,200,66,"[0.9755952380952382,0.9875134426976532]",5,181
0.7,0.36773892461991764,elu,BIRp2,119,0.004448436662033006,adam,0.017242729304536696,0.9820571357901186,0.15,200,63,"[0.9714285714285715,0.9820571357901186]",5,192
0.7,0.33319229728605243,elu,hHAQl,124,0.007261398522947579,adam,0.010199750177193267,0.9923464458247068,0.15,200,62,"[0.975297619047619,0.9923464458247068]",5,187
0.7,0.3807085174188781,elu,cx3xx,136,0.0021643561970102853,adam,0.021300923026240266,0.9793537532896801,0.15,200,59,"[0.9732142857142856,0.9793537532896801]",5,178
0.7,0.3070163753445797,elu,yT8vB,103,0.00142155704910448,adam,0.017708695961355006,0.9908859764695006,0.15,200,55,"[0.9657738095238095,0.9908859764695006]",5,197
0.7,0.3220976764795476,elu,gYJWs,114,0.006635332796974227,adam,0.005711737022039268,0.9889305634023848,0.15,200,58,"[0.9583333333333334,0.9889305634023848]",5,170
0.7,0.3561886866766763,elu,EtJhW,110,0.0006600081719130358,adam,0.021868043624083018,0.9828142941694692,0.15,200,56,"[0.9675595238095237,0.9828142941694692]",5,166
0.7,0.3010504448203883,elu,l9yRC,126,0.010231754475404042,adam,0.024582819272552583,0.9834210904593661,0.15,200,53,"[0.9711309523809524,0.9834210904593661]",5,174
0.7,0.31653122556508284,elu,jkhOB,117,0.005128539687783018,adam,0.014109319341466642,0.9871873435197036,0.15,200,68,"[0.968154761904762,0.9871873435197036]",5,184
0.7,0.3421887751195103,elu,JcnHz,105,0.0034823855793318947,adam,0.019210624029141005,0.9872358223362241,0.15,200,65,"[0.9758928571428573,0.9872358223362241]",5,190
0.7,0.3681660171113182,elu,a1Rsg,140,0.0009953422940943899,adam,0.008347792876324932,0.972502773796252,0.15,200,63,"[0.9758928571428571,0.972502773796252]",5,178
0.7,0.2913923741452201,elu,tSq6X,145,0.0022765602092466412,adam,0.012139855295322346,0.9843279308348631,0.15,200,51,"[0.9836309523809526,0.9843279308348631]",5,165
0.7,0.32522108488735596,elu,KY3Iq,121,0.009023739684554765,adam,0.027241796273556607,0.995058851721111,0.15,200,47,"[0.9714285714285715,0.995058851721111]",5,172
0.7,0.35027485532253017,elu,WVaMg,134,0.0038957447036500263,adam,0.01889498182054122,0.9873448189993658,0.15,200,67,"[0.9684523809523808,0.9873448189993658]",5,183
0.7,0.39189292202750553,elu,Ck7O1,128,0.0015440512021455178,adam,0.01563166418855289,0.9812412413313923,0.15,200,60,"[0.9613095238095237,0.9812412413313923]",5,160
0.7,0.3366870457115479,elu,oXVPj,113,0.01395748098168681,adam,0.029604723762558696,0.9927145743641408,0.15,200,66,"[0.9693452380952381,0.9927145743641408]",5,188
0.7,0.36218975880708676,elu,YOyLB,108,3.2785355835168274e-06,adam,0.02249996143112991,0.9628193669165711,0.15,200,49,"[0.9598214285714286,0.9628193669165711]",5,194
0.7,0.30872181691586376,elu,TTx8x,99,0.0058138613829229815,adam,0.02658607826462249,0.9853470574832803,0.15,200,62,"[0.9741071428571428,0.9853470574832803]",50,168
0.7,0.37452255006496954,elu,K3P3m,93,0.0029459440706798156,adam,0.0253459402386207,0.984961677618832,0.15,200,55,"[0.9738095238095237,0.984961677618832]",5,181
0.7,0.2978293059922757,elu,azB95,124,0.0018592957678218501,adam,0.023364152754547354,0.9906566751102355,0.15,200,65,"[0.975297619047619,0.9906566751102355]",10,177
0.7,0.2838673455907079,elu,FrUSc,137,0.0011803333426152352,adam,0.013958296421402262,0.9822709376679963,0.15,200,57,"[0.9788690476190476,0.9822709376679963]",5,164
0.7,0.3492632968276673,elu,HNxVp,129,0.008673002716429356,adam,0.017977036668116224,0.9882578535549451,0.15,200,64,"[0.9619047619047618,0.9882578535549451]",10,200
0.7,0.3323293491216341,elu,N6yv3,118,0.0004127363709927455,adam,0.009245152979190754,0.9945994356520671,0.15,200,61,"[0.961309523809524,0.9945994356520671]",30,154
0.7,0.3848563836595776,elu,GHOOi,148,0.0008054044001406635,adam,0.029223378305755873,0.9759936061381074,0.15,200,45,"[0.9755952380952382,0.9759936061381074]",5,172
0.7,0.18189138596139343,elu,lYzIZ,104,0.012464041781799292,adam,0.0032577184588399814,0.9759075224292616,0.15,200,67,"[0.9669642857142857,0.9759075224292616]",100,158
0.7,0.3119341870844418,elu,gDCiv,96,0.0044890730229249194,adam,0.01682574847795325,0.9790003733855144,0.15,200,59,"[0.9696428571428571,0.9790003733855144]",10,187
0.7,0.19858560924281013,elu,wyhqb,115,0.0006114844872538846,adam,0.03088481169166904,0.9926694358273306,0.15,200,51,"[0.9761904761904763,0.9926694358273306]",5,197
0.7,0.32797764565583754,elu,Y8koM,142,0.0026551786979133007,adam,0.0203022956544782,0.9918289667263004,0.15,200,48,"[0.9619047619047618,0.9918289667263004]",70,168
0.7,0.35526287518189487,elu,iZ890,132,0.024407281341392813,adam,0.007394413438991904,0.9920004961968083,0.15,200,69,"[0.8691964285714284,0.9920004961968083]",10,162
0.7,0.34311636709190696,elu,YTuP5,121,0.0062971051416770354,adam,0.0121127860642282,0.9796327208207185,0.15,200,63,"[0.9666666666666666,0.9796327208207185]",30,176
0.7,0.2933678269170227,elu,cwPNk,110,0.0002688894960814791,adam,0.03241262110560267,0.9703115942028987,0.15,200,57,"[0.9738095238095237,0.9703115942028987]",5,192
0.7,0.16341155108830352,elu,M5SfX,100,0.003543383577360644,adam,0.02111938741159742,0.9778790846307974,0.15,200,53,"[0.9681547619047619,0.9778790846307974]",50,152
0.7,0.37548426811460084,elu,wV8Vd,125,0.007855484049215138,adam,0.024053131887212646,0.9858124069974362,0.15,200,50,"[0.9651785714285713,0.9858124069974362]",10,185
0.7,0.27358989357461005,elu,Jj3NP,139,0.0014321467489901622,adam,0.07293988552119564,0.98190252786887,0.15,200,66,"[0.9794642857142858,0.98190252786887]",5,182
0.7,0.19072894852448477,elu,CvZzv,118,0.014858536228654323,adam,0.016220062283081,0.9915908938819733,0.15,200,46,"[0.8910714285714285,0.9915908938819733]",5,173
0.7,0.2298236453156744,elu,nJrpj,155,0.0009708556349015012,adam,0.07860781117846212,0.9878131910047145,0.15,200,68,"[0.9800595238095239,0.9878131910047145]",10,169
0.7,0.31780664104651474,tanh,EW5R9,130,0.0021100241646512803,adam,0.028394565691600208,0.991201680672269,0.15,200,43,"[0.9761904761904763,0.991201680672269]",30,157
0.7,0.3032167593738181,elu,MpOT5,134,0.010875661512032207,adam,0.015055971061845003,0.987743390608182,0.15,200,64,"[0.9729166666666667,0.987743390608182]",100,163
0.7,0.2193635143696429,elu,KvhGQ,106,0.005370799613131437,SGD,0.010820625734339194,0.9819151785010181,0.15,200,60,"[0.974702380952381,0.9819151785010181]",5,180
0.7,0.12986814185255838,elu,GrXYx,112,0.0027593139428440036,adam,0.05472324455579132,0.9822267629171654,0.15,200,58,"[0.9764880952380951,0.9822267629171654]",10,200
0.7,0.36782913134305273,elu,QFOqK,144,0.0004925341853325282,adam,0.02574577778655971,0.9857268780066029,0.15,200,62,"[0.9720238095238095,0.9857268780066029]",5,190
0.7,0.3277356691902231,relu,g3sLK,95,0.019209650744237323,adam,0.0753931206692238,0.9199864842104816,0.15,200,44,"[0.4934523809523809,0.9199864842104816]",70,148
0.7,0.38891566920709864,elu,FXzGa,101,0.0011666862492807843,adam,0.06412427011771689,0.9893534252973378,0.15,200,54,"[0.9782738095238095,0.9893534252973378]",10,176
0.7,0.2852436309811219,elu,vhNYD,123,0.0017835455427933282,adam,0.06606826730247548,0.9885619673181723,0.15,200,65,"[0.9732142857142858,0.9885619673181723]",30,152
0.7,0.3579159459154244,elu,kiTTC,90,0.004332547795772349,adam,0.03574948915767967,0.9759128408141565,0.15,200,61,"[0.976190476190476,0.9759128408141565]",5,161
0.7,0.20154846325402523,elu,g3yiY,114,0.007602965546060066,adam,0.04455585695521709,0.9844328310163807,0.15,200,56,"[0.9782738095238095,0.9844328310163807]",50,166
0.7,0.3396023766492474,tanh,rqXvl,160,0.0006545252829886452,adam,0.022969631795616566,0.9822703306191549,0.15,200,68,"[0.9755952380952382,0.9822703306191549]",10,79
0.7,0.2096252998068364,elu,UOVG3,151,0.030871335471825828,SGD,0.050947921636270446,0.9850085333120807,0.15,200,70,"[0.9764880952380952,0.9850085333120807]",5,194
0.7,0.23670629247592062,elu,tkFL8,128,0.0033526891128239883,adam,0.00518184175456028,0.9951090362420489,0.15,200,66,"[0.9648809523809524,0.9951090362420489]",10,187
0.7,0.2550935945715729,elu,WgVNs,137,0.01160732878003819,adam,0.08064806113558808,0.9253543792771002,0.15,200,63,"[0.6925595238095237,0.9253543792771002]",5,173
0.7,0.27924259372542753,elu,hPUTa,110,0.005184863716798716,adam,0.018824015432007776,0.9756060437020189,0.15,200,47,"[0.9782738095238095,0.9756060437020189]",30,157
0.7,0.17078621017243967,elu,J5yZL,120,0.008610054294288242,adam,0.07058307279524637,0.9924433554229573,0.15,200,41,"[0.9764880952380952,0.9924433554229573]",100,170
0.7,0.34661244837739413,relu,RTwrR,107,0.015493950364183993,adam,0.03799830717278466,0.6631833242685543,0.15,200,52,"[0.5928571428571429,0.6631833242685543]",5,179
0.7,0.3804632473871767,elu,JexRs,147,0.0003187122454025462,adam,0.05859657926050745,0.9842199817647389,0.15,200,36,"[0.9791666666666667,0.9842199817647389]",10,54
0.7,0.14997352091699628,elu,sD8SQ,103,0.006386691214751885,adam,0.01310451506978003,0.9890566438392525,0.15,200,67,"[0.9729166666666667,0.9890566438392525]",70,145
0.7,0.3192806136634845,elu,XbcPR,125,0.002353999711870656,adam,0.034031303620452744,0.9937844611528822,0.15,200,69,"[0.98125,0.9937844611528822]",5,184
0.7,0.30866856221681227,elu,iEUrN,194,0.0009467270263187627,adam,0.031170709753276377,0.9847376619362583,0.15,200,61,"[0.974702380952381,0.9847376619362583]",10,164
0.7,0.3640858087739257,tanh,GWf73,117,0.0015872862305723004,SGD,0.02785694566587255,0.932857458266904,0.15,200,58,"[0.9357142857142857,0.932857458266904]",30,197
0.7,0.1807492741907759,elu,Aw591,132,0.02190363439598452,adam,0.041026214349087084,0.9869909081083547,0.15,200,64,"[0.9723214285714284,0.9869909081083547]",5,149
0.7,0.39833498873173545,elu,VitLO,140,0.004364121782894928,adam,0.07630875534290812,0.9876986843063689,0.15,200,49,"[0.9854166666666666,0.9876986843063689]",50,155
0.7,0.2952801120610432,elu,CKob0,86,0.003404039067935635,adam,0.06135493102553176,0.986145340927755,0.15,200,55,"[0.9791666666666667,0.986145340927755]",10,176
0.7,0.3348545029567484,elu,XrKgR,121,0.010259821790530286,adam,0.046692566540754675,0.9768033853776693,0.15,200,48,"[0.976190476190476,0.9768033853776693]",5,160
0.7,0.2232633012815546,elu,ivIId,96,0.0019466988163960605,adam,0.05340624186722489,0.9929790756651011,0.15,200,60,"[0.9818452380952382,0.9929790756651011]",10,137
0.7,0.19203330235424107,relu,RdDbQ,165,0.0012862047467293975,adam,0.010058333750431612,0.9839444740360073,0.15,200,38,"[0.962797619047619,0.9839444740360073]",5,192
0.7,0.26623280731107274,elu,MK15y,113,0.0002175145387530543,adam,0.02004071966145328,0.9788505747126436,0.15,200,65,"[0.9752976190476191,0.9788505747126436]",30,168
0.7,0.2488060997025336,elu,t3XQV,135,0.0029367287280116054,adam,0.049331284316300426,0.991844548145918,0.15,200,63,"[0.9702380952380952,0.991844548145918]",5,181
0.7,0.3225475864598774,elu,OKz3y,127,0.0008042938732559588,adam,0.024699076710373576,0.9768210613587327,0.15,200,43,"[0.9669642857142857,0.9768210613587327]",100,142
0.7,0.29050461183843895,elu,MkOue,155,0.0004096278193201747,SGD,0.06755162634820738,0.93234517652048,0.15,200,67,"[0.8883928571428571,0.93234517652048]",10,188
0.7,0.3483418657250253,tanh,rj0MG,92,0.006117401966060661,adam,0.014863405987922757,0.9946775684535784,0.15,200,45,"[0.9717261904761905,0.9946775684535784]",5,200
0.7,0.3014596994556636,elu,HaIye,108,0.015718470108784473,adam,0.057148622957554615,0.9747731949812733,0.15,200,57,"[0.9726190476190476,0.9747731949812733]",70,166
0.7,0.33036300374306643,elu,aVZMe,99,0.029496097226542672,adam,3.2943816329567e-05,0.9937359239088124,0.15,200,69,"[0.8556547619047619,0.9937359239088124]",10,172
0.7,0.15751182311245507,elu,nuyBv,145,0.0024652829055876457,adam,0.07213262635904816,0.9785791164300491,0.15,200,42,"[0.9767857142857143,0.9785791164300491]",30,151
0.7,0.37189863455884087,elu,F3OTb,116,0.0005604761897329494,adam,0.08632980609624069,0.9865772137854517,0.15,200,62,"[0.9824404761904763,0.9865772137854517]",5,178
0.7,0.3143919830582994,elu,TsJeb,104,0.004256372183897755,adam,0.04472754289113232,0.9886549937700833,0.15,200,51,"[0.9764880952380952,0.9886549937700833]",10,131
0.7,0.3618429392424065,relu,XgtAg,188,0.013262579353806524,adam,0.06377697227979807,0.8987197244377679,0.15,200,47,"[0.5,0.8987197244377679]",50,158
0.7,0.20725263049202514,elu,OTw5q,130,0.008632639898944302,adam,0.018004428427647323,0.9834104571227857,0.15,200,59,"[0.9669642857142857,0.9834104571227857]",5,185
0.7,0.27223662208139965,elu,ji6So,123,0.00012647139968427406,adam,0.026276651195799645,0.9878255040755042,0.15,200,40,"[0.9672619047619048,0.9878255040755042]",10,170
0.7,0.35319888878697114,elu,yg8pZ,141,0.0012277192251824943,SGD,0.07794889128810154,0.9532094527468551,0.15,200,66,"[0.9452380952380951,0.9532094527468551]",5,163
0.7,0.3857331248142389,elu,mWqMu,148,0.0060373836480822575,adam,0.08921005813832625,0.9826850606563445,0.15,200,52,"[0.9851190476190477,0.9826850606563445]",30,147
0.7,0.33734169837811656,tanh,ze2po,119,0.03815729900120466,adam,0.07348472961445932,0.9896952371725224,0.15,200,53,"[0.9568452380952381,0.9896952371725224]",100,154
0.7,0.2421752945807446,elu,madYk,170,0.018859502539847764,adam,0.05974448197196364,0.9654576303421903,0.15,200,61,"[0.88125,0.9654576303421903]",5,66
0.7,0.2314453010814736,elu,b4kOw,114,8.308868030400538e-05,adam,0.09252371026406205,0.9777699927072152,0.15,200,54,"[0.9818452380952382,0.9777699927072152]",10,193
0.7,0.28025364948434406,elu,RPcuI,134,5.667624994656984e-06,adam,0.007839125435717771,0.9761150287450032,0.15,200,65,"[0.9672619047619048,0.9761150287450032]",5,175
0.7,0.21504614661522958,elu,XqopS,109,0.0017565279859835478,adam,0.02159335933491494,0.9899742404449754,0.15,200,63,"[0.9726190476190475,0.9899742404449754]",70,182
0.7,0.1682326000545442,elu,z32Jj,126,0.007487636714891669,adam,0.031767695940015724,0.994938325437418,0.15,200,55,"[0.9705357142857143,0.994938325437418]",10,161
0.7,0.3088453879604316,relu,SmhC4,138,0.0007875200203654363,adam,0.055896612677681964,0.9803475053117644,0.15,200,50,"[0.9806547619047619,0.9803475053117644]",30,111
0.7,0.39988061964340205,elu,kNeou,102,0.011281226528783602,adam,0.06988599648741568,0.8653563835894473,0.15,200,68,"[0.6949404761904762,0.8653563835894473]",5,126
0.7,0.25717315995418816,elu,x539V,177,0.004016940128913806,adam,0.02956844922929265,0.9861022207926233,0.15,200,46,"[0.9672619047619048,0.9861022207926233]",50,188
0.7,0.17901426266679715,elu,MxnKG,117,0.0026478585731542987,SGD,0.048022694903421884,0.9836892627384154,0.15,200,70,"[0.9779761904761906,0.9836892627384154]",10,196
0.7,0.3225409290622519,elu,aZDnk,151,0.0003262541349654412,adam,0.04022379098899863,0.9815690846195361,0.15,200,44,"[0.98125,0.9815690846195361]",5,140
0.7,0.3403131244135591,tanh,NUdFv,131,0.000172448057915002,adam,0.05205335063153954,0.9901497015260468,0.15,200,39,"[0.9785714285714284,0.9901497015260468]",10,105
0.7,0.3781809039379484,elu,WbNek,160,0.022246148214053945,adam,0.011990230653139212,0.9864965487270847,0.15,200,64,"[0.9270833333333334,0.9864965487270847]",5,84
0.7,0.35525497201306594,elu,cDyWh,95,0.0014308446149319284,adam,0.03480978941882909,0.9814508415146292,0.15,200,67,"[0.9761904761904763,0.9814508415146292]",30,133
0.7,0.19946620981817448,elu,Akk2g,106,0.002099877404306451,adam,0.042310616709318336,0.9877206531738356,0.15,200,60,"[0.9747023809523808,0.9877206531738356]",100,167
0.7,0.30221614706073424,elu,LOiA4,112,0.004978557722433563,adam,0.06255885538176781,0.982605054046249,0.15,200,56,"[0.9770833333333334,0.982605054046249]",5,173
0.7,0.18678823965300645,elu,Hnl61,143,0.0006745382372232921,adam,0.03765068261135528,0.9808585415687476,0.15,200,35,"[0.9723214285714284,0.9808585415687476]",10,179
0.7,0.2220963020590177,relu,f0thg,88,0.00320890394656817,adam,0.023440222691380897,0.9875433313456569,0.15,200,58,"[0.9702380952380952,0.9875433313456569]",5,156
0.7,0.39200382886238755,elu,LOITZ,124,1.4202217664873933e-06,adam,0.01419592331186853,0.6383918071130348,0.15,200,62,"[0.6880952380952381,0.6383918071130348]",70,144
0.7,0.2893436014039606,elu,j5pws,82,0.00924929688910084,adam,0.06549062991540239,0.9355263660884955,0.15,200,69,"[0.6919642857142858,0.9355263660884955]",10,151
0.7,0.36723678345768507,elu,JxlMC,99,0.006777925538090427,SGD,0.020374064545948468,0.963675336763916,0.15,200,66,"[0.9672619047619048,0.963675336763916]",30,190
0.7,0.33018290795276006,elu,iUnqR,122,0.0010144705742826238,adam,0.002977929490510926,0.9752571638887428,0.15,200,59,"[0.969345238095238,0.9752571638887428]",5,136
0.7,0.3486453556958323,tanh,RBxU0,137,0.05238439602439738,adam,0.01743323288470091,0.9834509013756693,0.15,200,37,"[0.9702380952380952,0.9834509013756693]",50,200
0.7,0.2643542846497285,elu,AHGtA,129,0.0038255754907066644,adam,0.05425942716509327,0.9827560816376606,0.15,200,41,"[0.9758928571428571,0.9827560816376606]",10,95
0.7,0.2484975196865688,elu,DPxVq,156,0.012570085559643637,adam,0.06799846546545116,0.872340033560514,0.15,200,48,"[0.7898809523809524,0.872340033560514]",5,170
0.7,0.3162988498344529,elu,PfBhw,120,0.02905190396704508,adam,0.08328319745085072,0.965143687343728,0.15,200,34,"[0.8747023809523808,0.965143687343728]",10,165
0.7,0.2390106047652627,elu,NhbJz,106,0.017546745281699316,adam,0.05084331627990034,0.9723356776170771,0.15,200,64,"[0.8708333333333333,0.9723356776170771]",5,183
0.7,0.27689204672242695,elu,ANB6c,91,0.0004919535030006006,adam,0.07959874066787857,0.9817391304347826,0.15,200,68,"[0.9758928571428571,0.9817391304347826]",30,160
0.7,0.29723542129782765,relu,yPpSO,112,0.004946581617449391,adam,0.005332759592376141,0.9878721633580969,0.15,200,70,"[0.9714285714285713,0.9878721633580969]",5,176
0.7,0.1403208560658103,elu,IgVKp,133,1.6429847741034453e-05,adam,0.045718104086931374,0.9446411522753806,0.15,200,61,"[0.94375,0.9446411522753806]",100,148
0.7,0.21175875112682144,elu,uNR5x,127,3.87374034685773e-05,SGD,0.06023452317944605,0.6029785947542459,0.15,200,43,"[0.6345238095238095,0.6029785947542459]",10,154
0.7,0.3257704183173847,elu,NiNt6,181,0.0022447242664160967,adam,0.027126275174966873,0.9782498621662707,0.15,200,65,"[0.9693452380952381,0.9782498621662707]",5,185
0.7,0.37361896891679286,elu,VHdVu,117,0.0015545055664160496,adam,0.0750241705224686,0.9748655051642222,0.15,200,63,"[0.9785714285714286,0.9748655051642222]",70,72
0.7,0.35833147787723196,elu,hjL37,148,0.0010645685382528627,adam,0.033861098753031,0.9713335776859806,0.15,200,56,"[0.9744047619047619,0.9713335776859806]",10,89
0.7,0.16285834514556533,tanh,RTfQX,103,0.008205160015184286,adam,0.016674673269045783,0.981061389377049,0.15,200,59,"[0.9767857142857143,0.981061389377049]",30,193
0.7,0.2286129721549849,elu,ez5Px,164,0.0029826331980236116,adam,0.07100810095920532,0.9821228948858176,0.15,200,49,"[0.9738095238095237,0.9821228948858176]",5,180
0.7,0.3397819233884967,elu,xvJBK,144,0.0002772553786112803,adam,0.039821197615867845,0.9781350427141247,0.15,200,45,"[0.9773809523809524,0.9781350427141247]",10,119
0.7,0.3069641232206789,elu,mfCwj,152,5.1439671292943494e-05,adam,0.024150215485632967,0.975567834717277,0.15,200,29,"[0.9669642857142857,0.975567834717277]",50,173
0.7,0.2892399655169954,elu,QvSkS,109,0.03915940502051123,adam,0.009063590229884783,0.9586845738955538,0.15,200,66,"[0.6883928571428571,0.9586845738955538]",5,167
0.7,0.19228227150260738,relu,jmsz3,98,0.006180449046537626,SGD,0.03112749050172365,0.9873029576268102,0.15,200,32,"[0.9755952380952382,0.9873029576268102]",10,141
0.7,0.14752192178163187,elu,xxJgL,78,0.02617019100023833,adam,0.056804301443695686,0.9852601023460824,0.15,200,62,"[0.8827380952380952,0.9852601023460824]",5,159
0.7,0.17396650645477743,elu,kTeVK,115,0.014345079077574954,adam,0.07689271997331615,0.9912793118246512,0.15,200,52,"[0.9735119047619047,0.9912793118246512]",30,164
0.7,0.38447001686055277,elu,YaBZN,139,8.836487526187055e-06,adam,0.04322016740685773,0.9851123985862728,0.15,200,42,"[0.9788690476190475,0.9851123985862728]",5,127
0.7,0.25834109122230225,elu,tPmsK,130,0.010327465744039272,adam,0.011300333688016978,0.981738704177323,0.15,200,69,"[0.9735119047619047,0.981738704177323]",100,27
0.7,0.34314445500643553,tanh,i8Rvr,121,0.0017786761805948848,adam,0.021028558187812248,0.9907298448491076,0.15,200,57,"[0.9785714285714286,0.9907298448491076]",10,177
0.7,0.31325107242685624,elu,XzwiB,93,0.00038692029696404766,adam,0.03674058171863007,0.9855781979944048,0.15,200,67,"[0.9764880952380952,0.9855781979944048]",5,170
0.7,0.28541860461093727,elu,RQlFM,85,0.0008199760561850178,adam,0.0486856027966778,0.9836531622441804,0.15,200,38,"[0.9773809523809524,0.9836531622441804]",70,197
