reward,batch_size,regularization,train_frac,epochs,preweight,test_frac,layer_2,trialJobId,learning_rate,dropout,optimizer,layer_1,activation,intermediate
0.5376223244040511,30,0.02289757968852777,0.7,200,11,0.15,72,ZwOxF,0.465621009964177,0.0798005730866056,adam,129,elu,"[0.5113095238095238,0.5376223244040511]"
0.895097550923776,30,0.09997063629733438,0.7,200,21,0.15,154,PBVKJ,0.0012592877931180107,0.3265753411527997,adam,46,relu,"[0.8214285714285715,0.895097550923776]"
0.5177588375557004,50,0.005207803004726575,0.7,200,61,0.15,72,Tqsr0,3.317334152888627e-06,0.015739497523856283,SGD,123,tanh,"[0.6000000000000001,0.5177588375557004]"
0.8881129301520951,5,0.04247930147329941,0.7,200,33,0.15,16,OW0eY,0.00022676524734127753,0.12136851556541839,adam,189,elu,"[0.8470238095238096,0.8881129301520951]"
0.8869976426235399,10,0.07674663709426208,0.7,200,51,0.15,18,ptVNg,0.00017593399564848716,0.004472242611686224,adam,161,relu,"[0.8452380952380952,0.8869976426235399]"
0.9043005760370013,5,0.04836160212311821,0.7,200,16,0.15,102,HwZ5o,2.566875809133024e-05,0.11785562251183138,adam,69,elu,"[0.8642857142857142,0.9043005760370013]"
0.8742520564231091,5,0.04333247075067264,0.7,200,16,0.15,199,K7sfm,1.1758882805094172e-05,0.1620884053279146,adam,67,relu,"[0.8577380952380953,0.8742520564231091]"
0.8707433710346606,70,0.06447689308243466,0.7,200,33,0.15,96,qBmYf,3.2034161857085133e-05,0.03867024740152609,adam,10,elu,"[0.8678571428571431,0.8707433710346606]"
0.8904087881039995,5,0.04378127391186138,0.7,200,44,0.15,102,dIafm,0.000362016304738436,0.12010356739606426,adam,67,elu,"[0.8351190476190476,0.8904087881039995]"
0.899150569850479,10,0.08197051277986879,0.7,200,52,0.15,122,JHM44,7.006128857652074e-05,0.03790711250056182,adam,81,relu,"[0.8297619047619047,0.899150569850479]"
0.895080472740935,5,0.06305675394726164,0.7,200,17,0.15,20,GQLP1,9.962348698486122e-06,0.16380992724247495,adam,58,elu,"[0.8607142857142855,0.895080472740935]"
0.8949324017240354,70,0.05815066087836926,0.7,200,31,0.15,195,y6wij,1.1067879693796222e-05,0.0015333387753237795,adam,105,relu,"[0.8422619047619048,0.8949324017240354]"
0.8823717908267696,100,0.019804691169250477,0.7,200,28,0.15,171,LW5Ko,0.0005102251150958714,0.24361657595218264,adam,200,relu,"[0.856547619047619,0.8823717908267696]"
0.8778311239017655,50,0.03762689018337473,0.7,200,38,0.15,89,yIq4B,0.0001166212070954392,0.39763112069606277,adam,94,elu,"[0.8625,0.8778311239017655]"
0.8106297999210001,5,0.04929648280529348,0.7,200,57,0.15,157,VQsd3,2.411488175407482e-05,0.1788836457123741,SGD,16,relu,"[0.8107142857142857,0.8106297999210001]"
0.8655668347023141,70,0.0691661008047201,0.7,200,41,0.15,113,wpj6d,0.0007121638840707434,0.10079043720858824,adam,147,elu,"[0.8511904761904763,0.8655668347023141]"
0.901204424597705,30,0.05684359532309553,0.7,200,48,0.15,53,xrDCP,5.985016369675811e-06,0.05565619403860863,adam,62,relu,"[0.8630952380952381,0.901204424597705]"
0.8540458114168246,10,0.07733685149218766,0.7,200,55,0.15,26,UkOhs,0.0001040642248655749,0.14012378408410164,SGD,22,elu,"[0.8375,0.8540458114168246]"
0.8539039529221716,70,0.04884225282674179,0.7,200,61,0.15,64,QTEfd,0.007432537648385631,0.18964234270603753,adam,76,relu,"[0.8136904761904761,0.8539039529221716]"
0.8676917012158019,5,0.03564570778015998,0.7,200,25,0.15,188,BMqk0,1.0520827733867276e-06,0.02019650278995777,adam,90,elu,"[0.8583333333333332,0.8676917012158019]"
0.6981173342757442,50,0.020881281602910452,0.7,200,16,0.15,146,axT6q,1.8463520152384915e-05,0.14221593020305343,SGD,108,relu,"[0.6982142857142858,0.6981173342757442]"
