,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
wStvP,0.03030221090450718,100.0,0.022015167742976606,SGD,tanh,0.052145257884385204,136.0,119.0,0.7,0.15,200.0,66.0,0.7777862466153731,0.12335509638851692,0.7726190476190475,0.07891339723417405
KzdiA,0.13565117165305943,50.0,0.24243609910362116,SGD,relu,0.03709513685884639,64.0,200.0,0.7,0.15,200.0,21.0,0.7804211933757328,0.15020330519429081,0.7791666666666667,0.1408703610302041
f2I2z,0.022570404079815726,50.0,0.25350005421476585,SGD,relu,0.09299756063018472,24.0,138.0,0.7,0.15,200.0,69.0,0.7379498952217334,0.15051766177028977,0.7285714285714286,0.13870963489170962
LPhW6,2.7172182152589254e-06,50.0,0.006948815650407614,SGD,relu,0.02101499034422635,38.0,96.0,0.7,0.15,200.0,13.0,0.4223314789992469,0.10085622595530068,0.4458333333333333,0.14036643210102254
nSGYY,0.00019833690183750162,50.0,0.3884213560646954,adam,elu,0.030368900576503467,115.0,113.0,0.7,0.15,200.0,36.0,0.8018189293807769,0.1250098982808932,0.8529761904761903,0.028052075399876624
LGzw8,1.2695799324563478e-06,50.0,0.3108746501588478,adam,tanh,0.08553526754390937,45.0,148.0,0.7,0.15,200.0,61.0,0.40403684807256235,0.11960579716048994,0.44523809523809527,0.0778738878163157
gWu5H,1.8564898364583476e-06,30.0,0.15254801123919812,SGD,relu,0.05574253107800098,97.0,12.0,0.7,0.15,200.0,60.0,0.4664803476946334,0.12589730002195035,0.5547619047619048,0.12345416033984198
U7xZh,0.0017247496957117998,30.0,0.3858436831098596,adam,elu,0.04617993507155263,31.0,131.0,0.7,0.15,200.0,70.0,0.8922385378449869,0.041558333485834056,0.8369047619047618,0.08933332064168861
d3WME,1.1138652593128073e-05,50.0,0.1852752556433062,SGD,tanh,0.046407399139320515,108.0,132.0,0.7,0.15,200.0,35.0,0.4283795027051271,0.10676103621114734,0.5160714285714285,0.14330411227213372
yOgAl,1.217857774807724e-05,100.0,0.1707704710924122,SGD,tanh,0.006774794524077876,24.0,174.0,0.7,0.15,200.0,56.0,0.43160575139146573,0.10924913775420095,0.5214285714285714,0.12245712841366045
paYQv,0.10570109312092507,5.0,0.3977288327776234,SGD,elu,0.0728407662201602,83.0,26.0,0.7,0.15,200.0,54.0,0.8246932160879563,0.11969309164727703,0.7532738095238095,0.16659463792197438
mTUNN,2.1809485835857147e-06,100.0,0.10920155851723955,SGD,elu,0.08878974676075257,146.0,25.0,0.7,0.15,200.0,67.0,0.46729042121899267,0.12748671783592527,0.5303571428571427,0.11786465825004157
MTyu6,0.002006458556081412,10.0,0.22315786696995535,SGD,elu,0.03414201674063268,181.0,146.0,0.7,0.15,200.0,25.0,0.7724253641018541,0.1619049546262741,0.7714285714285714,0.09187514943607017
Y9OBG,3.8571163896283244e-05,70.0,0.18376922516131491,adam,tanh,0.06923279403971354,30.0,82.0,0.7,0.15,200.0,64.0,-1,-1,-1,-1
hhPWz,0.008224397659277587,10.0,0.056479753891122725,SGD,tanh,0.01291921088720055,46.0,106.0,0.7,0.15,200.0,68.0,0.8304147079738463,0.10568310775379201,0.8488095238095239,0.0279445109388226
GZx0j,0.29662482359981224,30.0,0.013527619552600269,SGD,tanh,0.059608727582531246,38.0,171.0,0.7,0.15,200.0,35.0,0.843037320483749,0.06611403392503895,0.7666666666666667,0.13487233612625754
Walv1,0.05593676691012972,5.0,0.29443391173279376,SGD,relu,0.09438969830072275,96.0,85.0,0.7,0.15,200.0,18.0,0.7773292689523693,0.1302180178623821,0.7434523809523809,0.17118555029670432
DEMws,5.247057889563426e-06,50.0,0.05377615255192741,SGD,relu,0.05533714543889107,98.0,140.0,0.7,0.15,200.0,49.0,0.4302554799697657,0.18578604287532124,0.4958333333333334,0.07860974895256623
hsfry,0.0002255810595910264,30.0,0.0830147223142789,SGD,tanh,0.021031356409358073,90.0,183.0,0.7,0.15,200.0,25.0,0.4766249009728263,0.13179680855102419,0.5535714285714286,0.17963966199941844
ePEG9,0.008913618170980466,50.0,0.2643696860078377,SGD,relu,0.007426867023768036,120.0,37.0,0.7,0.15,200.0,18.0,0.5540902806183631,0.1747197688369897,0.5833333333333334,0.11334558757279536
CDpda,0.004653178828788469,100.0,0.2190477229908467,SGD,relu,0.07423523228443389,138.0,92.0,0.7,0.15,200.0,32.0,0.4977551020408163,0.05774628747748681,0.5678571428571428,0.09806807298389984
J5hma,0.0009540120981753519,10.0,0.14385789759918763,SGD,tanh,0.07427495179740429,108.0,184.0,0.7,0.15,200.0,37.0,0.5925939595696434,0.20253955878945412,0.655952380952381,0.11913092323468455
NCF0Z,1.7497856353821705e-05,30.0,0.23014932623620538,SGD,elu,0.028013453364816844,32.0,78.0,0.7,0.15,200.0,50.0,0.38904308390022674,0.11500762921694245,0.4291666666666667,0.13350992769697237
rzIlr,0.26617716308632816,30.0,0.023224996538418054,adam,relu,0.047091765103564366,147.0,151.0,0.7,0.15,200.0,10.0,0.49341860333402565,0.026439941701888653,0.5,0.0
lUDu0,1.4443595624166634e-05,5.0,0.15595498257788926,adam,elu,0.0475646937389122,138.0,80.0,0.7,0.15,200.0,42.0,0.7822233297882828,0.16639478617152806,0.8422619047619045,0.06450854238638733
QWVld,0.0006373120911756357,5.0,0.34901719550785415,SGD,tanh,0.030125265727938968,12.0,56.0,0.7,0.15,200.0,41.0,0.5929141929499072,0.1667289960202915,0.6642857142857143,0.13853071730554276
gVdUP,4.850461545770909e-05,5.0,0.10987420055163284,SGD,elu,0.032252062688291026,41.0,184.0,0.7,0.15,200.0,17.0,0.47459241170094213,0.20871472973773547,0.5821428571428572,0.10874464044446892
FP0sG,0.006307241569886924,100.0,0.2754097387240471,adam,tanh,0.005385821759047194,51.0,101.0,0.7,0.15,200.0,15.0,0.9070473587626028,0.04621118373038125,0.8571428571428571,0.025808908796046193
TNnjj,0.14696813647809254,30.0,0.14697770890793735,SGD,elu,0.06817688739303078,157.0,126.0,0.7,0.15,200.0,53.0,0.8344676738293593,0.1060808174193988,0.8086309523809524,0.10371543423322269
Gw4p0,1.7342798742489905e-05,5.0,0.07331265027322979,adam,tanh,0.011643259416061258,167.0,138.0,0.7,0.15,200.0,31.0,0.8320461618710594,0.06352344348607823,0.819047619047619,0.04995746490085066
aT4zH,0.034311001822450206,100.0,0.34933182595209217,adam,tanh,0.009101990640877055,150.0,63.0,0.7,0.15,200.0,67.0,0.8235915829572003,0.10579783235602383,0.7970238095238096,0.10228573922585489
v2HRA,0.04861398403148781,100.0,0.12129236994118552,adam,elu,0.036373446158153425,149.0,139.0,0.7,0.15,200.0,21.0,0.7665924370635946,0.10921325259133173,0.7297619047619047,0.13809523809523808
UQ6eN,0.00413633884477662,70.0,0.17789372186798064,SGD,relu,0.014946728388222997,20.0,189.0,0.7,0.15,200.0,27.0,0.5530138577179347,0.08496753719691695,0.5416666666666667,0.1033385449640329
gSNKs,1.4162192730027605e-06,10.0,0.22867777664453467,SGD,tanh,0.019714240521767734,17.0,91.0,0.7,0.15,200.0,36.0,0.4649376403090226,0.13352627687717628,0.5839285714285714,0.11592481582978714
