,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
bVUCF,0.033866414515891195,70.0,0.10269258174885212,adam,relu,0.031974209226106366,29.0,12.0,0.7,0.15,200.0,0.8462611769681943,0.05994311755231241,0.8732142857142857,0.02779832006865624
OV7rA,0.24884558195709772,10.0,0.280145783430568,adam,relu,0.046961432328262165,143.0,195.0,0.7,0.15,200.0,0.7607369357072014,0.16216176341730337,0.5449404761904761,0.11656982435968223
KFKjz,0.0006507822961210183,50.0,0.17924590399003756,SGD,relu,0.06691984705441095,145.0,191.0,0.7,0.15,200.0,-1,-1,-1,-1
gDX5e,0.00027042877298985005,50.0,0.07488456966927663,adam,relu,0.0015909417359737056,162.0,39.0,0.7,0.15,200.0,0.8570212933770487,0.06806183762095132,0.8761904761904761,0.013521210347143495
drejz,0.0009340791131763191,10.0,0.3142348704428819,adam,relu,0.050203366477641835,125.0,134.0,0.7,0.15,200.0,0.8828923248608724,0.07365507156808326,0.8857142857142858,0.008333333333333304
Z1VMt,0.013316942999101654,10.0,0.11064366060356234,adam,tanh,0.045836566349746366,97.0,165.0,0.7,0.15,200.0,0.9073468598271031,0.035799758350301546,0.8553571428571429,0.0312769158462373
LjJdH,0.0029978014376250317,70.0,0.39786067168122885,SGD,elu,0.07581603988264031,119.0,41.0,0.7,0.15,200.0,0.7441631357754326,0.17731439387328848,0.8107142857142856,0.03677010764638213
gRW4v,2.709983906089893e-06,70.0,0.3196896015276432,adam,elu,0.05253303537224549,69.0,36.0,0.7,0.15,200.0,0.48190163540163544,0.20880727472574206,0.5351190476190476,0.1673339109538232
CmPh3,1.9979607439481744e-06,5.0,0.3603039659245226,adam,elu,0.04952618568231082,114.0,47.0,0.7,0.15,200.0,0.7172935907718847,0.10222020928637546,0.7696428571428571,0.07415672944205368
zaZ8q,0.10614129576590647,10.0,0.37902045033150134,SGD,tanh,0.051769469583070084,46.0,80.0,0.7,0.15,200.0,0.8909791538065622,0.03458859946752278,0.8583333333333332,0.00988883793204534
OygCF,0.00026129223547140755,100.0,0.34003526932887174,adam,tanh,0.06766570441716478,23.0,106.0,0.7,0.15,200.0,0.8162555085106955,0.11203161575151775,0.831547619047619,0.01845238095238094
uCqEb,0.0004424469633915799,30.0,0.052827868742048395,adam,elu,0.008840955239195513,129.0,48.0,0.7,0.15,200.0,0.868616658380898,0.07351358365052751,0.8904761904761905,0.006070261325705675
