,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
UBm9X,0.0004277921252045837,10.0,0.11248039767872481,SGD,elu,0.07513795587761209,39.0,153.0,0.7,0.15,200.0,22.0,0.6188427513443704,0.14025658511583167,0.6993620414673046,0.1378035655528177
VEhHS,0.0031855721896813078,50.0,0.26280891269552786,SGD,elu,0.03503303488621277,153.0,117.0,0.7,0.15,200.0,44.0,0.679264562954187,0.11537372691897255,0.7532695374800638,0.14337230955771504
nb9wj,9.231613401178865e-06,10.0,0.1514194651997864,adam,tanh,0.02117796515056868,126.0,40.0,0.7,0.15,200.0,44.0,0.7506767025661218,0.13198298319078525,0.8044657097288676,0.16140666071018886
qA11O,0.003599824187676291,70.0,0.1679132541608404,SGD,relu,0.05042397737148346,40.0,18.0,0.7,0.15,200.0,18.0,0.5880249895156897,0.09789280492701621,0.6232057416267943,0.13438090055725924
uV2wo,9.220954639672958e-05,70.0,0.23117302749658483,adam,tanh,0.01738445362916775,145.0,48.0,0.7,0.15,200.0,53.0,0.7812043562262974,0.10295301569761423,0.8878787878787879,0.04936481120148358
EftpV,5.744136966783196e-05,100.0,0.05299356923410845,adam,elu,0.041438077866985695,36.0,62.0,0.7,0.15,200.0,19.0,0.7122626087939341,0.09756071285458812,0.8157894736842104,0.08910961418201258
fN1oc,0.09209454609256111,30.0,0.19351321165000734,adam,tanh,0.013340660109983072,27.0,128.0,0.7,0.15,200.0,66.0,0.8105685891711014,0.055024095870776585,0.657097288676236,0.2294733827008744
ACRCi,5.086203262951373e-06,10.0,0.2846341216906673,SGD,tanh,0.04935960890290454,90.0,57.0,0.7,0.15,200.0,33.0,0.4132176022830591,0.11551902965648456,0.47814992025518344,0.15037901914174975
nMrx3,0.0004130621457943131,100.0,0.0089063837634356,SGD,relu,0.017712566003306764,157.0,111.0,0.7,0.15,200.0,42.0,0.4418292601659072,0.12265266819552198,0.5034290271132377,0.1157855467895325
mXbQ5,3.777521155946657e-05,70.0,0.14239793252400818,SGD,elu,0.023867944675858788,189.0,11.0,0.7,0.15,200.0,29.0,0.4529380541172291,0.1354701499746037,0.5089314194577352,0.12504729740673276
jKlFH,6.246488602716877e-05,10.0,0.18958692381436607,adam,relu,0.0036163716964900065,18.0,127.0,0.7,0.15,200.0,55.0,0.7027921827563536,0.1530032916218049,0.7171451355661882,0.1702566027528436
x5O6g,0.027186947463760276,100.0,0.10311039674304384,SGD,relu,0.053699174295194475,117.0,16.0,0.7,0.15,200.0,42.0,0.5476048157835589,0.07327747796294772,0.558133971291866,0.10155085187197989
kwXKn,1.2793381290227366e-06,10.0,0.033562269604548466,adam,tanh,0.01369451950344508,70.0,76.0,0.7,0.15,200.0,37.0,0.47828476363903877,0.1731867189684665,0.5036682615629984,0.18175073597245964
Qj6Qf,0.0002880460468072208,70.0,0.3552539909884418,SGD,tanh,0.08192540138738391,139.0,102.0,0.7,0.15,200.0,66.0,0.4656911983171995,0.12980780493248995,0.5480063795853269,0.10431207276207116
ZwHzp,1.8656725971698595e-05,100.0,0.11992454960450082,adam,tanh,0.04828708929447639,185.0,47.0,0.7,0.15,200.0,68.0,0.6082173147321963,0.14925300990106985,0.7011164274322169,0.1596589213199508
XGm1g,2.3997332134855207e-06,10.0,0.06251228836225678,adam,relu,0.059072454953672374,109.0,156.0,0.7,0.15,200.0,30.0,0.5391488429882798,0.08896575568386338,0.5791068580542265,0.12133367111310527
U6hVF,0.009551294648907785,100.0,0.23384475366007154,SGD,tanh,0.0014913355928448226,142.0,169.0,0.7,0.15,200.0,63.0,0.6906159262687511,0.14389245353582744,0.80829346092504,0.09786167444707478
ZMPfl,1.675850053013907e-06,10.0,0.31552573719947163,adam,tanh,0.07540336665455175,12.0,134.0,0.7,0.15,200.0,23.0,0.5040014925149614,0.16029256567810735,0.6475279106858054,0.15691543000032773
fE4OD,0.0007538948064654973,70.0,0.18342087594091377,SGD,tanh,0.045970668985500486,65.0,86.0,0.7,0.15,200.0,68.0,0.4993031292319241,0.18765182851149423,0.5830940988835726,0.14943284983127328
IKk0w,0.02519459961348098,70.0,0.29887739180096545,adam,tanh,0.07093203971370836,83.0,142.0,0.7,0.15,200.0,70.0,0.8597941697078513,0.03526695131541025,0.8282296650717704,0.1641795301058013
ydwJE,0.02973067512852566,50.0,0.38430247011474156,adam,tanh,0.027168685429029116,154.0,134.0,0.7,0.15,200.0,10.0,0.8889099575072466,0.05070001580065387,0.9106858054226474,0.008069608064225525
cvbua,2.8188483215288006e-05,50.0,0.22622054826696214,adam,relu,0.07591025407413776,157.0,77.0,0.7,0.15,200.0,59.0,0.5499023769183948,0.10965839893648612,0.5813397129186603,0.14049624558150647
FXCKf,0.00795199307952006,30.0,0.15562981101681284,adam,elu,0.09409754927607336,171.0,174.0,0.7,0.15,200.0,37.0,0.8099181186188857,0.06485090197661808,0.7814992025518341,0.15570918242313003
bqmF3,1.0190777095715456e-05,50.0,0.2294992517950879,SGD,tanh,0.09701429042853367,96.0,25.0,0.7,0.15,200.0,36.0,0.3989118860885559,0.1297354908112618,0.5405103668261564,0.12899241119721347
hke7D,0.0037058943308852735,5.0,0.18465438855540306,SGD,elu,0.07945380329730412,41.0,132.0,0.7,0.15,200.0,66.0,0.770019181460435,0.11196266326928482,0.8100478468899521,0.0819796883187938
W7Dxs,6.18167178102489e-06,100.0,0.25223119223682255,SGD,elu,0.029723126225785424,43.0,56.0,0.7,0.15,200.0,59.0,0.44511069983809104,0.08848948192427816,0.4735247208931419,0.0821656474967154
g7X2a,0.056266244769236085,50.0,0.1465515560341642,SGD,tanh,0.06680515934817197,175.0,62.0,0.7,0.15,200.0,39.0,0.8370942005735287,0.061950580996751714,0.9012759170653908,0.017564870700854225
arGK3,0.011962595870088499,70.0,0.11000464024742707,adam,tanh,0.04274509739253014,58.0,175.0,0.7,0.15,200.0,11.0,0.9197868177211449,0.04804116619837602,0.9007974481658693,0.012142179464545015
