,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
s2Z1k,0.0008395351636297992,100.0,0.048736065424525826,adam,tanh,0.052510770235554616,116.0,107.0,0.7,0.15,200.0,40.0,0.910639687522211,0.05338837425620022,0.9400318979266347,0.009083911238212547
e7Lsw,0.018735958386467487,100.0,0.17249054919825665,SGD,elu,0.0653246779185415,125.0,140.0,0.7,0.15,200.0,54.0,0.8060391879192563,0.060311319376585654,0.9062200956937797,0.0231320456259214
JTJRY,1.0287798946765528e-05,50.0,0.2158931639874281,adam,relu,0.0946604976138628,184.0,54.0,0.7,0.15,200.0,21.0,0.4915099907627873,0.14696754937504802,0.5264752791068581,0.11699725102770342
uVeZl,0.0002918498263850532,5.0,0.37797824458371176,SGD,elu,0.06002257897184863,49.0,20.0,0.7,0.15,200.0,15.0,0.6079189076695141,0.10312277135709191,0.7023923444976076,0.07774919230231697
nAI2f,0.01295941514684885,50.0,0.05892248590989873,adam,relu,0.08958773597415763,107.0,75.0,0.7,0.15,200.0,45.0,0.9169885000222955,0.0420277108294092,0.9280701754385964,0.007663804642254523
AEvae,0.09951158428269676,50.0,0.3582666150932615,SGD,elu,0.04717217127846697,178.0,107.0,0.7,0.15,200.0,51.0,0.9024682727972129,0.07587627630583961,0.934609250398724,0.011345084047067789
uA2st,0.009759239332651624,10.0,0.10433368098855192,adam,relu,0.08747153461140067,42.0,76.0,0.7,0.15,200.0,54.0,0.8987308016645988,0.027991288903723942,0.9140350877192983,0.015470494417862857
FwZff,0.0001289805177028962,50.0,0.34133001218869297,SGD,tanh,0.04839589721950369,123.0,69.0,0.7,0.15,200.0,53.0,0.4143790927740053,0.11642133028815567,0.4524720893141946,0.16142218310815507
FUwYZ,5.160804943379645e-06,50.0,0.11012009507975323,adam,tanh,0.0676502941031297,53.0,183.0,0.7,0.15,200.0,48.0,0.45008894114728576,0.08383771551524297,0.5684210526315789,0.12165452715108391
ttPks,2.0940111320353285e-05,10.0,0.16346024128732997,SGD,relu,0.006566912497859823,108.0,124.0,0.7,0.15,200.0,60.0,0.4367445911048996,0.1448741451045273,0.48963317384370014,0.14476528821830612
Hosk0,2.967928426704491e-06,10.0,0.18341440316410706,SGD,relu,0.027015093226655785,131.0,167.0,0.7,0.15,200.0,61.0,0.5129680850241215,0.06615324889260532,0.5416267942583731,0.10353862585330796
AZOXv,5.1508438460525424e-05,70.0,0.05788574432614113,adam,relu,0.032184556281976084,45.0,67.0,0.7,0.15,200.0,24.0,0.6650464230732623,0.09760653812838987,0.754066985645933,0.07580305862062692
jnYNt,0.02720751807714313,5.0,0.047692386156920064,SGD,elu,0.0260220635372995,23.0,37.0,0.7,0.15,200.0,61.0,0.9222984294814136,0.06719993295211155,0.9444976076555023,0.01099900456112703
AQN4z,7.899355155446406e-05,70.0,0.10865890886243378,SGD,tanh,0.08843013561340018,21.0,167.0,0.7,0.15,200.0,24.0,0.38672231642541627,0.13282143661254783,0.3789473684210526,0.11508522614061142
lRFt1,1.9306313085226206e-05,10.0,0.3198916901909146,SGD,elu,0.04235288441875576,143.0,158.0,0.7,0.15,200.0,11.0,0.39258166326822796,0.12737984161912072,0.4649122807017543,0.10015961661528536
iyhNq,2.0241860183068173e-06,30.0,0.38317295623960834,SGD,elu,0.0390321273903074,53.0,37.0,0.7,0.15,200.0,35.0,0.4654181652392184,0.12134326297594483,0.4889952153110048,0.12624125843983638
eHlzc,0.0010961214070661178,5.0,0.2586218904453148,SGD,tanh,0.07719068434498316,181.0,199.0,0.7,0.15,200.0,33.0,0.7993400155176797,0.08402256797009577,0.9063795853269536,0.02392397660228027
Z5Not,6.793266475002993e-06,100.0,0.031778659774861585,SGD,relu,0.051158214799044976,44.0,193.0,0.7,0.15,200.0,66.0,0.4245393819588538,0.09222708921505536,0.5575757575757575,0.09091804427216367
s3Gr5,4.8365480019126765e-06,50.0,0.049223046701080755,adam,tanh,0.04896151339538647,194.0,142.0,0.7,0.15,200.0,12.0,0.47618709521350755,0.16502659661476116,0.5586921850079745,0.14424785920249758
JkzIe,0.004152957110330423,30.0,0.18217009682052332,SGD,relu,0.0754906576270672,21.0,173.0,0.7,0.15,200.0,21.0,0.6189058017128912,0.177414193748497,0.7303030303030302,0.151205004486341
gWSLY,5.3024222717890604e-05,5.0,0.24465932285424372,adam,tanh,0.06989711414948735,162.0,172.0,0.7,0.15,200.0,68.0,0.8878047928032184,0.06756745304125611,0.9384370015948964,0.007688657603313549
a702S,0.0008650256228252438,5.0,0.21345551312319788,SGD,elu,0.0228007421320667,87.0,164.0,0.7,0.15,200.0,50.0,0.7911770685747828,0.07908389330101427,0.8977671451355661,0.04689890224773833
