learning_rate,trialJobId,layer_1,epochs,reward,activation,train_frac,dropout,preweight,intermediate,layer_2,batch_size,optimizer,test_frac,regularization
0.00037020316606,sR3Dz,64,200,0.625716664270784,elu,0.7,0.233488821971389,7,"[0.5946428571428573,0.6257166642707842]",27,30,adam,0.15,0.018509653928302
0.008019792903093,cBZTl,112,200,0.625479289202597,elu,0.7,0.27425492728244,7,"[0.5892857142857143,0.6254792892025968]",125,30,adam,0.15,0.009336111509367
0.004193774886921,thWPp,120,200,0.625367948948055,relu,0.7,0.366165616445561,6,"[0.5714285714285715,0.6253679489480551]",88,10,adam,0.15,0.002717775754587
0.13637420550339,BQLg1,67,200,0.624958791366396,elu,0.7,0.157219662300318,8,"[0.5178571428571428,0.6249587913663964]",135,30,adam,0.15,0.033370339643156
0.016573165879907,T11Bc,104,200,0.624711658510188,tanh,0.7,0.343439054915498,4,"[0.6023809523809524,0.6247116585101884]",173,50,SGD,0.15,0.021494589711032
0.023377583115021,APbH0,134,200,0.624378740918184,elu,0.7,0.339730149154403,6,"[0.5339285714285714,0.6243787409181842]",115,10,adam,0.15,0.004811562315751
0.010523284847839,TIbST,126,200,0.624286154477576,elu,0.7,0.329643614254176,6,"[0.5892857142857143,0.6242861544775764]",133,100,adam,0.15,0.014513024484255
0.000826335035597,jUkFQ,106,200,0.624045767145761,elu,0.7,0.198946067719109,5,"[0.5904761904761905,0.6240457671457611]",175,30,adam,0.15,0.013898530536257
0.054743058882265,ExkJS,144,200,0.62370200053898,elu,0.7,0.305534040169227,6,"[0.5815476190476191,0.6237020005389797]",128,30,adam,0.15,0.001967691520589
0.028043765457167,RTWqj,73,200,0.623572469684548,tanh,0.7,0.261607757066635,4,"[0.5892857142857143,0.6235724696845483]",91,100,adam,0.15,0.01952606567482
0.012911498355012,L54Q2,156,200,0.623414742764784,elu,0.7,0.305249897280997,5,"[0.5892857142857143,0.6234147427647845]",77,50,adam,0.15,0.004619008575847
0.002368467453524,s9PKM,110,200,0.623272356344395,relu,0.7,0.3798271761027,5,"[0.5928571428571427,0.6232723563443953]",87,30,adam,0.15,0.0017900964559
0.015514451613551,SgLlY,70,200,0.623192912276488,tanh,0.7,0.307280606947905,3,"[0.5470238095238095,0.6231929122764883]",116,5,adam,0.15,0.011125588596711
0.005797914673766,Ss2Ga,130,200,0.623139351899987,elu,0.7,0.373090235123789,8,"[0.5928571428571427,0.6231393518999873]",78,30,adam,0.15,0.002050297228527
0.142920657405755,cwDBu,74,200,0.622987200858424,elu,0.7,0.350490046404039,6,"[0.47648809523809527,0.6229872008584239]",168,5,adam,0.15,0.026383379769961
0.002153859490125,UEpZz,52,200,0.622949077461208,elu,0.7,0.170266462874399,4,"[0.5892857142857143,0.6229490774612076]",147,50,adam,0.15,0.029592576027778
0.001474031318196,XHtBG,126,200,0.622719755389751,elu,0.7,0.343810597688103,6,"[0.5892857142857143,0.6227197553897509]",115,30,adam,0.15,0.005303484738635
0.022239365949848,upvTC,120,200,0.62259435372576,tanh,0.7,0.331145843521343,6,"[0.5720238095238096,0.6225943537257596]",163,30,adam,0.15,0.014107920480469
0.002829403026356,vDYF6,84,200,0.622259043180632,tanh,0.7,0.388982003489681,7,"[0.5892857142857143,0.6222590431806323]",150,10,adam,0.15,0.014626627521602
0.067264801882147,p4Tf6,134,200,0.622251630355387,elu,0.7,0.345093941587342,7,"[0.5916666666666667,0.6222516303553871]",115,30,adam,0.15,0.006117803253522
0.011449305634238,fEEpn,74,200,0.622043651715038,tanh,0.7,0.327074713242039,5,"[0.5895833333333333,0.6220436517150383]",146,50,adam,0.15,0.015292330416562
0.046554443154268,QyDVr,117,200,0.62075127557936,elu,0.7,0.327327592060154,6,"[0.5726190476190476,0.6207512755793597]",94,30,adam,0.15,0.005721799358343
0.000182318023456,I8O4g,37,200,0.620350749162434,elu,0.7,0.293729883590749,8,"[0.5976190476190476,0.6203507491624338]",166,30,adam,0.15,0.009732489433823
0.07006132437259,baS6Z,56,200,0.62035030693076,relu,0.7,0.335826604684081,3,"[0.5157738095238095,0.6203503069307601]",80,30,adam,0.15,0.006603686848012
0.00335432284936,cbfCJ,152,200,0.620301736761735,elu,0.7,0.389242730250448,5,"[0.5702380952380952,0.6203017367617354]",85,10,adam,0.15,0.007219307210698
0.001913442507917,kquGc,98,200,0.620145770996638,relu,0.7,0.313335290276649,5,"[0.5934523809523808,0.6201457709966378]",23,10,adam,0.15,0.002022791262046
0.004504445736785,sxTsB,119,200,0.619404538966158,tanh,0.7,0.329257235548925,5,"[0.5892857142857143,0.619404538966158]",194,30,adam,0.15,0.009364988864003
0.001301321510973,aJs4N,21,200,0.619355250043544,relu,0.7,0.28426601875513,3,"[0.594642857142857,0.6193552500435436]",65,10,adam,0.15,0.005927271442644
0.022074970000709,efmlH,119,200,0.619216152978373,elu,0.7,0.358809396369754,6,"[0.5892857142857143,0.6192161529783727]",62,50,adam,0.15,0.005585028330846
