intermediate,trialJobId,layer_2,layer_1,batch_size,learning_rate,train_frac,activation,regularization,reward,dropout,preweight,epochs,optimizer,test_frac
"[0.9303061224489797,0.9821753134825005]",NrhR0,149,131,10,0.09628768739857603,0.7,elu,0.048883574271709744,0.9821753134825005,0.0006769961142160177,4,200,adam,0.15
"[0.9390816326530611,0.963267753025532]",JzY3u,125,12,70,0.004245256197040231,0.7,tanh,0.0755978542234194,0.963267753025532,0.23408398429243404,6,200,SGD,0.15
"[0.9419387755102042,0.9775948299621875]",ZuNC3,179,121,5,7.974293504905496e-05,0.7,elu,0.06165786633880532,0.9775948299621875,0.28971303708857876,9,200,adam,0.15
"[0.9385714285714286,0.9848343224403152]",ScalW,81,62,30,0.015699457084349985,0.7,relu,0.003194374048649907,0.9848343224403152,0.03096515649368388,3,200,adam,0.15
"[0.9316326530612244,0.9543603318617156]",XaoFJ,105,156,50,0.0006548099721557385,0.7,elu,0.009846171109578531,0.9543603318617156,0.11589569126630409,7,200,SGD,0.15
"[0.9392857142857143,0.9833995060247501]",GxUWt,62,94,10,0.0031425903417737436,0.7,tanh,0.04253065510701474,0.9833995060247501,0.1658463541313642,6,200,adam,0.15
"[0.9373469387755101,0.9844380061489169]",zzUxI,193,168,70,0.028215476597964473,0.7,elu,0.020105227405311805,0.9844380061489169,0.06295412403204938,5,200,adam,0.15
"[0.6947959183673469,0.6279027508319898]",IzVtH,164,109,100,2.4574736489227737e-05,0.7,tanh,0.031571518894845316,0.6279027508319898,0.18882077960476773,7,200,SGD,0.15
"[0.5439795918367347,0.6672872614851488]",Hxn8L,137,184,30,0.2836644861212686,0.7,elu,0.016175563640876623,0.6672872614851488,0.2683076834849467,10,200,adam,0.15
"[0.9401020408163265,0.96862055685744]",iTadQ,200,81,70,0.00018076503075508508,0.7,relu,0.06005138195303937,0.96862055685744,0.384752587298479,8,200,adam,0.15
"[0.9387755102040817,0.979848094219888]",sLyUM,35,24,5,0.12405468693848282,0.7,tanh,0.035955522142424055,0.979848094219888,0.22015570519475902,6,200,SGD,0.15
"[0.9407142857142858,0.9835293381822618]",JfuvG,155,40,30,0.0016409580617255447,0.7,elu,0.008883546178720905,0.9835293381822618,0.1478871532576778,5,200,adam,0.15
"[0.9369387755102041,0.9824754481585055]",XJpyz,141,112,70,0.0006079012834135089,0.7,tanh,0.006035783030589431,0.9824754481585055,0.10124366414847219,7,200,adam,0.15
"[0.9390816326530611,0.9645535876976898]",Jdb9R,136,117,70,7.526869148112058e-05,0.7,tanh,0.02230932953260005,0.9645535876976898,0.02890350933655529,7,200,adam,0.15
"[0.9379591836734693,0.9811157941298856]",rlhZk,111,138,70,0.00032678782795456243,0.7,tanh,0.002008981208297591,0.9811157941298856,0.009313820954120262,8,200,adam,0.15
"[0.935204081632653,0.9597813356023714]",nKRRt,186,72,70,4.719516221598122e-05,0.7,tanh,0.011829432228823508,0.9597813356023714,0.08530506970784224,7,200,adam,0.15
"[0.9341836734693878,0.9797563186331406]",UvEu2,131,126,70,0.009096439472433252,0.7,tanh,0.006296143651846314,0.9797563186331406,0.1316048736513738,6,200,adam,0.15
"[0.9368367346938775,0.9532779106763772]",deyZL,94,97,70,1.397437721654531e-05,0.7,tanh,0.016433133682121466,0.9532779106763772,0.04074491614064903,8,200,adam,0.15
"[0.9420408163265306,0.972165768572124]",kVdjB,171,144,70,0.00012318374421954275,0.7,tanh,0.027036539014384776,0.972165768572124,0.021133966561482143,8,200,adam,0.15
"[0.9414285714285715,0.9795495296330692]",rf7Nr,117,153,10,0.0002841005423159886,0.7,tanh,0.024419563331020362,0.9795495296330692,0.058601184701468884,9,200,adam,0.15
"[0.46479591836734696,0.9505232708362668]",RMex9,149,118,50,0.06587901522019468,0.7,tanh,0.00046983947847910323,0.9505232708362668,0.08574185874381901,7,200,adam,0.15
"[0.9363265306122447,0.980146257674255]",XL41o,125,103,70,0.0014476857226154779,0.7,tanh,0.013916506789342538,0.980146257674255,0.10215255887847281,6,200,adam,0.15
"[0.941530612244898,0.9801246223110682]",ch5bs,72,163,30,0.002499648984763581,0.7,tanh,0.039149856835197075,0.9801246223110682,0.07313175016734824,9,200,adam,0.15
"[0.9408163265306122,0.98053873665305]",pAJZ3,101,134,70,0.0005189614420225653,0.7,elu,0.01826194571383434,0.98053873665305,0.12068175831211081,5,200,adam,0.15
"[0.9413265306122449,0.9680308359812451]",fMbRI,160,53,100,0.00016370550688767576,0.7,tanh,0.03021687353682346,0.9680308359812451,0.06426759493391276,7,200,adam,0.15
"[0.9390816326530611,0.9833941748862252]",DOEFm,145,129,30,0.03181348609619511,0.7,relu,0.02282774910874953,0.9833941748862252,0.3459881105363831,9,200,adam,0.15
"[0.9404081632653061,0.9790426791492652]",SSe9u,155,123,5,0.015638606307706342,0.7,elu,0.03412140310723266,0.9790426791492652,0.16093879772450792,8,200,adam,0.15
"[0.9380612244897961,0.9684178013425507]",pzbYl,178,142,10,0.0010622288310653738,0.7,tanh,0.007293740180851202,0.9684178013425507,0.0008107002157543286,7,200,SGD,0.15
"[0.9408163265306122,0.9807422908241687]",Ay2jd,183,107,50,0.0054980781355525145,0.7,elu,0.046098534007678424,0.9807422908241687,0.33504669422848427,10,200,adam,0.15
"[0.9402040816326531,0.9756434108856646]",pWf9G,166,76,70,0.0007622675325426457,0.7,tanh,0.004521105889748363,0.9756434108856646,0.04452793785316643,5,200,adam,0.15
"[0.9329591836734693,0.9809981096633125]",xF3KQ,132,161,30,0.008632126140679094,0.7,relu,0.052852754310890336,0.9809981096633125,0.1415980978497799,6,200,adam,0.15
"[0.9402040816326531,0.9711866578805903]",EeNLc,24,151,100,0.003910974556108957,0.7,elu,0.06899240325650538,0.9711866578805903,0.19376715498692676,8,200,SGD,0.15
"[0.938265306122449,0.9716541912157609]",JvVVp,53,172,70,0.002070235022441551,0.7,tanh,0.010821741744922014,0.9716541912157609,0.020479519903717467,4,200,adam,0.15
"[0.9425510204081633,0.9725588130160137]",ALZ6q,117,96,30,9.745408251750217e-05,0.7,tanh,0.027996572508118173,0.9725588130160137,0.3116585829380862,10,200,adam,0.15
"[0.9368367346938775,0.9829530490794498]",CdsiO,195,66,5,0.006170983694654057,0.7,elu,0.01449476396878142,0.9829530490794498,0.2580548298637113,7,200,adam,0.15
"[0.9104081632653063,0.931006653205573]",VSUEz,175,135,70,3.7255211489321795e-06,0.7,relu,0.002399475751089949,0.931006653205573,0.21077866267620093,6,200,adam,0.15
"[0.7635714285714286,0.7853622921309606]",BPwna,85,112,50,4.635862974742887e-05,0.7,tanh,0.03919710960352196,0.7853622921309606,0.37364332274467266,9,200,SGD,0.15
"[0.9404081632653061,0.9775895970096189]",qCITy,100,85,10,0.03539622800126028,0.7,elu,0.018113860875753663,0.9775895970096189,0.35705117309397405,8,200,adam,0.15
"[0.8792857142857142,0.9650365203872312]",vT9pe,110,90,70,0.06928431390250629,0.7,tanh,0.0075529181610486315,0.9650365203872312,0.28164817813053844,7,200,adam,0.15
"[0.9425510204081633,0.975308584909331]",TL1pf,122,181,30,2.7636737181813823e-05,0.7,elu,0.020791116106683195,0.975308584909331,0.03736525312750835,8,200,adam,0.15
"[0.9414285714285715,0.9689278751370203]",TYIy0,189,147,100,0.01728377203214591,0.7,tanh,0.025840005221856227,0.9689278751370203,0.0916346861736191,9,200,SGD,0.15
"[0.5659183673469388,0.6839625124483749]",Z0K8D,162,189,70,0.32598226988046475,0.7,relu,0.08016695270190005,0.6839625124483749,0.11192949873703514,6,200,adam,0.15
"[0.9429591836734694,0.9820550491204527]",ernYY,153,104,30,0.00043737223225805583,0.7,elu,0.041895917236770566,0.9820550491204527,0.18456935969274757,3,200,adam,0.15
"[0.9429591836734694,0.9813338515249855]",ZuErj,169,200,5,0.00029826282016781624,0.7,tanh,0.09314990908713175,0.9813338515249855,0.399377732357191,10,200,adam,0.15
"[0.9377551020408165,0.9837330754601125]",MuN6y,70,118,70,0.013115373617476429,0.7,tanh,0.030154703356871378,0.9837330754601125,0.05143090167605366,5,200,adam,0.15
"[0.9357142857142857,0.9639226117788773]",utOCr,140,130,50,0.0012690333045563122,0.7,elu,0.011478878166693185,0.9639226117788773,0.23482372888486636,7,200,SGD,0.15
"[0.9444897959183672,0.9817657632060997]",SHDWi,135,168,10,0.0032119088024722127,0.7,tanh,0.05815915770175773,0.9817657632060997,0.3038449073743766,8,200,adam,0.15
"[0.9380612244897959,0.9837224873770692]",WaTrQ,183,58,30,0.011645206824985311,0.7,relu,0.06524821732960627,0.9837224873770692,0.1671855391111909,6,200,adam,0.15
"[0.9448979591836736,0.9771586285539808]",KrdTH,94,141,70,6.325613724391147e-05,0.7,elu,0.037225734495341764,0.9771586285539808,0.12388191541802646,9,200,adam,0.15
"[0.8816836734693878,0.9611881110956009]",vZFpc,148,158,100,0.022675110399578566,0.7,tanh,0.04878651824969529,0.9611881110956009,0.010533097303185843,7,200,adam,0.15
"[0.7086734693877551,0.7345262756346222]",ziXkl,108,82,70,0.0009109940747185746,0.7,tanh,0.04416680609114246,0.7345262756346222,0.15531820606517932,4,200,SGD,0.15
"[0.9351020408163266,0.9465702224529358]",WRsPj,114,111,30,1.20537439877583e-06,0.7,elu,0.014812354400271645,0.9465702224529358,0.07923079854677252,8,200,adam,0.15
"[0.5943877551020408,0.9362112682293248]",D17pE,128,126,5,0.16136238450208953,0.7,tanh,0.023204968231711746,0.9362112682293248,0.13597237429407552,5,200,adam,0.15
"[0.9461224489795919,0.9791642348152241]",fN2qC,143,91,70,0.002051357034939728,0.7,relu,0.001217255689308562,0.9791642348152241,0.06892179331648723,8,200,adam,0.15
"[0.9419387755102042,0.9636714998105823]",wNFqi,199,75,10,1.5751564309925298e-05,0.7,elu,0.008472225250628034,0.9636714998105823,0.2113521405820481,2,200,adam,0.15
"[0.568469387755102,0.5238606428951036]",NPMcn,158,177,50,8.960040103276208e-06,0.7,tanh,0.004799266002086644,0.5238606428951036,0.09735610724016644,7,200,SGD,0.15
"[0.9432653061224491,0.9732144360704332]",i43BV,192,120,70,0.00015599199927313604,0.7,tanh,0.018894909765017946,0.9732144360704332,0.22869660630977184,6,200,adam,0.15
"[0.9468367346938775,0.9789011802582867]",XhZF5,104,101,30,0.05181442215672634,0.7,elu,0.03209758878251957,0.9789011802582867,0.3322489616451846,7,200,adam,0.15
"[0.9427551020408161,0.9774848303777954]",npycY,88,136,100,0.007003430443184615,0.7,tanh,0.03358546307716684,0.9774848303777954,0.1083616500665919,10,200,adam,0.15
"[0.9374489795918368,0.9669435349024115]",whQG8,121,115,70,0.0002543514536422237,0.7,relu,0.012728883144677808,0.9669435349024115,0.2715076084913483,8,200,adam,0.15
"[0.5741836734693877,0.5468779700464644]",TYHI3,128,29,30,3.362284850561799e-05,0.7,elu,0.020837155580387373,0.5468779700464644,0.29159849530374005,9,200,SGD,0.15
"[0.6015306122448979,0.9390771964568867]",vj3ve,151,150,5,0.1095722446741198,0.7,tanh,0.017172141409059663,0.9390771964568867,0.2433144148599526,6,200,adam,0.15
"[0.5183673469387756,0.9231779658631545]",yfNiC,174,195,70,0.4843465269052197,0.7,tanh,0.009760978628507574,0.9231779658631545,0.0037510195962207754,7,200,adam,0.15
"[0.9440816326530612,0.9840824420749745]",R6pgc,133,154,10,0.0005345628335259911,0.7,elu,0.04735605607239989,0.9840824420749745,0.057424609258642345,9,200,adam,0.15
"[0.9418367346938774,0.9864871300278686]",I0j9a,78,66,50,0.0003821875355074309,0.7,tanh,0.003183806603784343,0.9864871300278686,0.028093443808378537,8,200,adam,0.15
"[0.9413265306122449,0.9676498137720222]",XLvWv,48,44,50,0.00010149072436599226,0.7,tanh,0.028650062885410808,0.9676498137720222,0.025848707193887765,10,200,adam,0.15
"[0.9393877551020408,0.9645433041498975]",b1ZYl,37,47,50,0.004538769795034155,0.7,relu,0.0033204081023259814,0.9645433041498975,0.3120609723187527,8,200,SGD,0.15
"[0.9434693877551021,0.9806459748255356]",UnoSw,57,19,50,0.000739137117526987,0.7,elu,0.025207302089516968,0.9806459748255356,0.2513037414829461,9,200,adam,0.15
