epochs,learning_rate,trialJobId,dropout,batch_size,optimizer,train_frac,preweight,activation,intermediate,layer_1,reward,layer_2,test_frac,regularization
200,0.04507197281696787,twYNl,0.3987136635934652,100,SGD,0.7,9,tanh,"[0.4724358974358974,0.6168101279642743]",196,0.6168101279642743,137,0.15,0.03928322487034743
200,0.002584996138221029,EYW8M,0.23476405781775767,5,SGD,0.7,7,tanh,"[0.47451923076923075,0.6051591461890574]",141,0.6051591461890574,158,0.15,0.06142227372816382
200,0.015731938043848002,hlZxU,0.38081594650178907,100,adam,0.7,8,tanh,"[0.5326923076923077,0.7053874332650588]",119,0.7053874332650588,14,0.15,0.036980882309537076
200,0.13990653252077492,mOPzc,0.3071273453692972,100,SGD,0.7,6,tanh,"[0.5075320512820513,0.654757070119893]",152,0.654757070119893,127,0.15,0.008756642251537654
200,0.00462098959294454,DrwH1,0.2482780436772553,70,adam,0.7,9,tanh,"[0.5166666666666667,0.6866826109679385]",77,0.6866826109679385,83,0.15,0.05748194794696623
200,0.00011322620656688459,TRuPY,0.1837209824010142,30,SGD,0.7,8,tanh,"[0.4958333333333333,0.48285884938932]",191,0.48285884938932,66,0.15,0.08170564231194313
200,0.0012195207705914064,jb0Y3,0.36877419952353185,5,adam,0.7,5,tanh,"[0.4865384615384616,0.6661450031833335]",114,0.6661450031833335,161,0.15,0.07721826235720704
200,0.4254973963802245,vMLno,0.07039581803800471,30,SGD,0.7,7,tanh,"[0.5118589743589743,0.7156331415273728]",156,0.7156331415273728,125,0.15,0.03246625587301756
200,0.008582771080500652,n2vzO,0.300331397345575,100,SGD,0.7,10,tanh,"[0.4322115384615384,0.5244899875176431]",127,0.5244899875176431,94,0.15,0.00015190940994692231
200,0.027182788792641445,hzQRj,0.31366232250797565,70,adam,0.7,6,tanh,"[0.4875,0.6800619559789369]",184,0.6800619559789369,67,0.15,0.04308108526556372
200,0.08387494310070587,B5QNy,0.2519518587037732,30,adam,0.7,8,tanh,"[0.45256410256410246,0.6713676555017652]",104,0.6713676555017652,118,0.15,0.06095726574683373
200,0.23010324254500156,fdeUg,0.21830527305783076,100,SGD,0.7,9,tanh,"[0.5440705128205128,0.6966267027211299]",131,0.6966267027211299,52,0.15,0.01832373255446689
200,0.0018883153420357025,NRLXh,0.36567329927343056,50,adam,0.7,7,tanh,"[0.5448717948717949,0.7363365945096025]",82,0.7363365945096025,28,0.15,0.03397478287677961
200,0.0018649208948347494,M2oHN,0.32893405367307715,50,adam,0.7,7,tanh,"[0.5701923076923077,0.7131744259130891]",13,0.7131744259130891,12,0.15,0.024129842791979342
200,0.0008502588871124608,RDGnP,0.3737214432957634,50,adam,0.7,6,elu,"[0.5402243589743589,0.6731568186863373]",84,0.6731568186863373,178,0.15,0.032373309351087565
200,0.0002506985792344477,MW6rY,0.2858730418105955,50,adam,0.7,5,relu,"[0.4894230769230769,0.6074638260273133]",67,0.6074638260273133,25,0.15,0.03648591397938207
200,0.00947440938113296,WVysd,0.1826869008547836,50,adam,0.7,8,tanh,"[0.5323717948717948,0.7298744011561678]",63,0.7298744011561678,77,0.15,0.01131606993769866
200,0.0001490499302117247,kKfoD,0.2638576333202203,50,adam,0.7,10,tanh,"[0.4881410256410256,0.6421015099103605]",95,0.6421015099103605,36,0.15,0.02118793418919461
200,0.039205573938478,yBTRR,0.35341311644368395,5,adam,0.7,4,relu,"[0.5,0.5922490220050528]",104,0.5922490220050528,131,0.15,0.04651139903539381
200,0.0053046782898015735,UbO2A,0.3229661543760385,100,adam,0.7,9,elu,"[0.5479166666666666,0.6767852605895774]",77,0.6767852605895774,94,0.15,0.0008229779974994328
200,9.44703998744404e-05,vKQgj,0.041979937065305534,50,adam,0.7,6,tanh,"[0.4634615384615384,0.5660705905940702]",55,0.5660705905940702,58,0.15,0.0297158082412841
200,0.0005709434224005377,A5QnO,0.10203872016115839,70,adam,0.7,7,elu,"[0.5233974358974359,0.689703012976476]",122,0.689703012976476,115,0.15,0.058058706599561805
200,0.01944470734301035,OnKkg,0.2795268056279311,50,adam,0.7,4,relu,"[0.4503205128205128,0.6590207231549096]",141,0.6590207231549096,150,0.15,0.07590932242508311
200,7.232550793730352e-06,VCjD5,0.3439799139078824,100,adam,0.7,10,tanh,"[0.47676282051282054,0.5154296281416202]",156,0.5154296281416202,197,0.15,0.015486865709762002
200,0.08300924995029739,OUYGD,0.383982510284791,10,adam,0.7,9,elu,"[0.4963141025641026,0.5788360123250105]",15,0.5788360123250105,43,0.15,0.06641495445376598
200,0.0013412628935933976,NBi5m,0.23701619537584986,5,adam,0.7,2,tanh,"[0.5192307692307694,0.7122625682773462]",111,0.7122625682773462,17,0.15,0.049145975818282624
200,5.208046574844797e-05,lMHfB,0.39996063942656557,50,adam,0.7,5,relu,"[0.4503205128205129,0.5404605049823579]",83,0.5404605049823579,108,0.15,0.042185621131735636
200,0.0027585864818669005,cxl1y,0.36333205406312835,100,adam,0.7,7,tanh,"[0.5394230769230769,0.7186872087369872]",44,0.7186872087369872,98,0.15,0.026374100015821963
200,1.5271384806240512e-05,HnlFF,0.16529715011468524,10,adam,0.7,8,elu,"[0.44791666666666663,0.5269161891788484]",173,0.5269161891788484,121,0.15,0.09264397412961035
200,3.9957317786780876e-06,or2d1,0.3173957384439337,50,adam,0.7,7,tanh,"[0.4947115384615385,0.5127818723993192]",100,0.5127818723993192,60,0.15,0.05475948188236248
200,0.006644245715979418,A7L9D,0.3352760316797958,70,adam,0.7,10,relu,"[0.5145833333333332,0.6853563078531602]",73,0.6853563078531602,74,0.15,0.034667109367453514
200,0.2605255671019646,o3POs,0.20446118817632805,100,adam,0.7,8,tanh,"[0.5201121794871796,0.6008853746429225]",44,0.6008853746429225,135,0.15,0.041785219018740105
200,0.05285079014503926,CXcso,0.2624561177685769,5,adam,0.7,4,tanh,"[0.492948717948718,0.585303256057217]",22,0.585303256057217,186,0.15,0.07128139546788717
200,0.11976748391954366,SFeZ0,0.2916456538068048,100,adam,0.7,6,elu,"[0.508974358974359,0.6588172893044341]",57,0.6588172893044341,37,0.15,0.0059041006595272685
200,0.011694239167047073,ri5Iw,0.2212117054385335,10,adam,0.7,9,tanh,"[0.47900641025641033,0.6704895236070457]",89,0.6704895236070457,110,0.15,0.05014250776303844
200,0.00045974937538513326,ALmbI,0.3539979143459175,50,adam,0.7,7,relu,"[0.497275641025641,0.6721047466541356]",163,0.6721047466541356,167,0.15,0.062221395431695144
200,0.00024063286996177347,taKQ2,0.136551539997716,30,adam,0.7,6,tanh,"[0.5431089743589744,0.683276029817544]",137,0.683276029817544,88,0.15,0.020052121741876136
200,0.0008394113569632685,WtqNl,0.38707057127467936,70,SGD,0.7,8,tanh,"[0.46121794871794863,0.48454362301519593]",110,0.48454362301519593,146,0.15,0.08722207470621113
200,0.0027289777707091194,CjzQh,0.001718655225863397,100,adam,0.7,3,elu,"[0.5322115384615385,0.6979395692198254]",148,0.6979395692198254,155,0.15,0.028009195135302898
200,0.001871213645605949,Fptll,0.30583913772384014,5,adam,0.7,9,tanh,"[0.5453525641025643,0.6961363175302226]",125,0.6961363175302226,100,0.15,0.039009005486506654
200,0.021567044059479294,kLOHD,0.2781381483508306,10,SGD,0.7,5,tanh,"[0.530448717948718,0.6778398300923025]",133,0.6778398300923025,22,0.15,0.011096744162453771
200,3.197043183627328e-05,Ljisp,0.11558837809497752,30,adam,0.7,8,relu,"[0.45272435897435903,0.5816943820624303]",93,0.5816943820624303,50,0.15,0.02408037356861895
200,0.009473036468739388,PgZc5,0.19198654465690448,50,adam,0.7,8,tanh,"[0.542948717948718,0.741665085243118]",68,0.741665085243118,78,0.15,0.0135960004672218
