optimizer,test_frac,preweight,reward,regularization,trialJobId,epochs,layer_1,activation,batch_size,learning_rate,dropout,layer_2,train_frac
SGD,0.15,7,0.5960244830046597,0.04545330278627424,eSA1z,200,96,tanh,10,0.00029088702184003595,0.27952415056663965,191,0.7
adam,0.15,4,0.646165408983467,0.025398680994715067,tvq7Q,200,199,tanh,100,0.0074419703475022666,0.3156157827903564,124,0.7
adam,0.15,5,0.6116643731840097,0.07508067068878789,BT9dX,200,104,elu,30,0.00011807075413948895,0.21092794024242842,100,0.7
SGD,0.15,9,0.5174253844151393,0.021531098064555325,gtkVj,200,139,tanh,50,0.0005915201460613187,0.1760135841688104,39,0.7
adam,0.15,8,0.6232288994104569,0.017266121997919118,nzX7o,200,60,relu,100,0.0025827967054736947,0.39067206871267224,59,0.7
SGD,0.15,6,0.5683463484611871,0.07963172093345577,UI7Nk,200,112,elu,10,0.00018608502963732287,0.2542186716983193,47,0.7
adam,0.15,7,0.5629313704523664,0.05685273211427842,JnJuT,200,165,tanh,30,2.2284851153258496e-06,0.3346537707458022,11,0.7
adam,0.15,5,0.6301525121653934,0.06364616525449154,zOk30,200,158,tanh,70,7.349419141213813e-05,0.2901851553993333,69,0.7
SGD,0.15,6,0.4750360606948038,0.06981818434649986,bzjeU,200,82,elu,100,1.9244700990205146e-05,0.3762762206545743,65,0.7
adam,0.15,9,0.6363839868771803,0.03792732614387245,wnLVC,200,118,tanh,5,8.725961125807587e-06,0.26389505528390444,18,0.7
adam,0.15,8,0.5311930064450304,0.048442987300524244,xrDGu,200,29,elu,10,1.1616467955608237e-06,0.3533351968544729,77,0.7
SGD,0.15,7,0.6384525798848555,0.0009349278099169481,LEvEB,200,92,relu,30,0.004485090154096393,0.30807095678372853,55,0.7
adam,0.15,2,0.6606966094151718,0.060743468647534105,T3gEk,200,37,tanh,50,0.0008654079622806959,0.20200253419931713,31,0.7
SGD,0.15,3,0.6050692619271151,0.0965270139415148,dAluf,200,153,tanh,100,0.20474148275504525,0.3598969150855048,108,0.7
adam,0.15,8,0.6522511185202051,0.08263924442977072,fow68,200,182,elu,10,0.00040758834799007,0.31824256007322566,83,0.7
adam,0.15,6,0.6220949838955987,0.0998964193933592,DA92f,200,146,tanh,30,5.812024788274028e-06,0.2842609072915042,176,0.7
SGD,0.15,10,0.48144166134483485,0.04149776463458755,g6YHG,200,177,elu,70,4.670280672417981e-05,0.23693573667199988,44,0.7
adam,0.15,7,0.5267375625222036,0.05084858512638937,HCVXk,200,188,relu,100,0.10121295503485979,0.2993835416406908,26,0.7
SGD,0.15,5,0.5463281653651777,0.09203411176258178,etzSk,200,132,tanh,10,0.00025514969879253244,0.12787660262144887,49,0.7
adam,0.15,4,0.5792516241888028,0.028817006247243742,vRUIU,200,163,tanh,5,0.02419623467445967,0.24979709561668,21,0.7
adam,0.15,9,0.634951898524998,0.053281933490054015,EHjJ2,200,196,elu,30,2.668599349121911e-05,0.39870493536322194,72,0.7
SGD,0.15,6,0.4712888985061259,0.07276920768997495,fdnT2,200,170,tanh,50,0.00010315526651787363,0.3692039183463518,88,0.7
adam,0.15,8,0.5410788842350716,0.08792983527189224,Intri,200,75,elu,100,3.95526989241448e-06,0.2230409423722549,119,0.7
SGD,0.15,7,0.4815809394944609,0.07642627116422766,EFfjz,200,148,relu,10,1.017090055899119e-06,0.21644442751997253,14,0.7
adam,0.15,5,0.6393414238183182,0.033678632745386176,d7ayE,200,141,tanh,30,1.1516083873038673e-05,0.32736209141453815,61,0.7
adam,0.15,6,0.6409321089780533,0.00766989170035879,NZbTC,200,135,tanh,100,1.5788473785697603e-05,0.16259619187455435,38,0.7
SGD,0.15,8,0.620987247589283,0.04510012119965685,g1XwH,200,66,elu,70,0.0505932072589061,0.025375999808161437,163,0.7
adam,0.15,7,0.6408370215361087,0.030977673867980074,HRqhw,200,130,tanh,10,0.0001499696557164432,0.27440069597644157,80,0.7
SGD,0.15,9,0.5343152539441963,0.015842342989132244,mJ9AT,200,45,elu,5,5.479204291311106e-05,0.3483282135840225,34,0.7
adam,0.15,10,0.5125168519093589,0.02410972961981167,PaADk,200,190,relu,30,0.3359928137215742,0.3380486916757273,10,0.7
adam,0.15,7,0.5941948184715465,0.08355938762430853,E7rrl,200,124,tanh,50,0.010424427534053413,0.18193297183596663,52,0.7
SGD,0.15,6,0.4562900631357302,0.011225556249532746,G5Qob,200,17,tanh,100,1.9938589459088474e-06,0.10011588531605013,95,0.7
adam,0.15,8,0.599013986721111,0.059143175763435515,EUkVt,200,158,elu,10,0.0023177934906140406,0.3824560993328573,28,0.7
SGD,0.15,5,0.4546543611958522,0.06619879635577408,hc9fs,200,168,tanh,30,3.768484369138118e-05,0.2602999659284604,102,0.7
adam,0.15,4,0.5600295127654537,0.09431559753325137,LWJIz,200,79,elu,70,7.980917752684786e-06,0.3037604281527252,153,0.7
adam,0.15,9,0.5941904947071307,0.0686511753486534,fM6dV,200,174,relu,100,0.0004712738904525268,0.07134880532964397,24,0.7
SGD,0.15,7,0.5905950294640703,0.04963819063540977,SgAhc,200,180,tanh,10,0.0066462617750198735,0.15426425719870063,42,0.7
adam,0.15,8,0.6760464575975644,0.055824411111116856,jJE4I,200,114,tanh,5,2.2756812981039775e-05,0.00014612443025707744,65,0.7
adam,0.15,10,0.6146592246720617,0.027928123825603626,u3n8x,200,90,tanh,5,2.7649366936121253e-06,0.0369332479194617,75,0.7
