layer_2,dropout,regularization,activation,epochs,layer_1,test_frac,train_frac,preweight,trialJobId,batch_size,reward,optimizer,learning_rate
16,0.08975026863707675,0.08086102073993155,tanh,200,115,0.15,0.7,8,xclUH,50,0.5548949958372627,adam,0.012864613748755388
95,0.1147034955911668,0.07034168985179001,tanh,200,101,0.15,0.7,9,wKtfv,70,0.6248052726984494,adam,0.006108449599640192
174,0.05210659851696969,0.05070856025107441,tanh,200,98,0.15,0.7,8,yw85U,70,0.5859251135364902,adam,0.005241079976073867
92,0.11414876049310133,0.06914459563203086,tanh,200,105,0.15,0.7,9,bJd5k,70,0.5755011433729706,adam,0.0005567994065580667
60,0.04563097216118926,0.07229625551313368,tanh,200,90,0.15,0.7,10,pOViH,70,0.5533421471781478,adam,0.035509891552465825
73,0.001432130860544334,0.08635816645639664,tanh,200,77,0.15,0.7,9,NUKCD,70,0.6110570750384142,adam,0.0025987540090249917
107,0.19247296421427096,0.07742826711097195,tanh,200,59,0.15,0.7,10,OIX8U,70,0.5559022053015161,adam,0.0002606148240471084
71,0.17166857891943382,0.0826255435115425,tanh,200,124,0.15,0.7,7,YO2qm,70,0.556219455913689,adam,0.00014491692368780347
82,0.10844775425105271,0.05716941170471732,tanh,200,137,0.15,0.7,10,fITL4,30,0.6188647355185991,adam,0.0030879056387719977
81,0.029988709742897968,0.05609614648375487,tanh,200,137,0.15,0.7,10,naWNv,100,0.5434118882159391,adam,0.0067995789712441065
112,0.10727969316593937,0.0483579487466157,tanh,200,119,0.15,0.7,9,T0sFM,50,0.6473814288844387,adam,0.0015243321269400908
143,0.06820449458138286,0.04674120877030288,tanh,200,86,0.15,0.7,8,Y60X5,50,0.6075527456945161,adam,0.001325512601224556
123,0.1817406866482345,0.049481629693926076,tanh,200,116,0.15,0.7,8,hlyLH,50,0.60684182878604,adam,0.00043363643822818876
110,0.09132775720461254,0.04160837950960353,tanh,200,123,0.15,0.7,9,kLFA5,50,0.5570374715358215,adam,0.011435780936728429
164,0.14375657624858246,0.06063640256915421,tanh,200,143,0.15,0.7,7,fr93U,50,0.5651450252866564,adam,8.022809006089542e-05
132,0.21259390900322317,0.052871422109673515,tanh,200,129,0.15,0.7,8,ixbzm,50,0.48485621739080537,adam,0.055776823135365555
183,0.1250909482053777,0.033469357850800754,tanh,200,99,0.15,0.7,9,JA7qF,50,0.4836767203443353,SGD,0.00012900022652270515
99,0.1508335964881412,0.06672373767287727,tanh,200,92,0.15,0.7,7,aeTcG,10,0.5911096341348789,adam,0.0016811839899139578
117,0.05603826184710422,0.07334101265500174,tanh,200,112,0.15,0.7,6,lGGIY,50,0.5462834345751345,adam,0.00024135659286295073
156,0.2676652857652955,0.0640298603835466,tanh,200,106,0.15,0.7,10,PF0sd,70,0.6240628137149509,adam,0.004501058216306723
126,0.28345957681528766,0.0714668152685277,tanh,200,76,0.15,0.7,9,glwld,50,0.5829795806338873,adam,0.0008985079309962153
145,0.2591557165784458,0.06033947831958376,tanh,200,149,0.15,0.7,8,iVkb6,100,0.5411452454893599,SGD,0.2531538829471781
89,0.2318907654980895,0.04321014337419226,tanh,200,83,0.15,0.7,8,JgQHq,50,0.5505176740678659,adam,0.008588125325865167
99,0.03544172575196686,0.05469693343573857,tanh,200,119,0.15,0.7,7,Z6jPI,70,0.5271773862534397,adam,0.016151320402640827
193,0.0609676559373104,0.08941607567484355,tanh,200,19,0.15,0.7,9,wRiTh,50,0.5419386949142665,adam,0.0004107318867935339
112,0.21617569657090213,0.038079794966844244,tanh,200,51,0.15,0.7,10,pR7AW,10,0.528195508460505,SGD,0.0022100787058344593
134,0.08257376589910492,0.0481382713123287,elu,200,102,0.15,0.7,6,bdfCg,70,0.526498554108815,adam,0.08377968765979109
152,0.16247476802253402,0.03355083173280287,tanh,200,73,0.15,0.7,9,RZE6C,50,0.600355496899806,adam,0.0013541825875547366
141,0.19686809999792645,0.0750461884933115,tanh,200,134,0.15,0.7,5,m7RVX,100,0.5428703702834528,adam,0.022603017854205265
104,0.13356714857011873,0.026839938121120652,relu,200,161,0.15,0.7,7,yeGAk,50,0.5119632572034696,adam,0.1576270610754274
119,0.17881956627611523,0.06287410329329124,tanh,200,171,0.15,0.7,8,b0EN0,10,0.480869420440685,SGD,0.0005605455797029286
40,0.1035180791488862,0.08389907760602201,elu,200,183,0.15,0.7,9,lIo6V,70,0.560038557765565,adam,0.03792590889810183
94,6.217871357191984e-05,0.07022241875273501,tanh,200,126,0.15,0.7,10,QhpQB,5,0.5445093115552199,adam,4.906485594480772e-05
123,0.24795077906860774,0.096745617790913,relu,200,155,0.15,0.7,8,ytxev,50,0.4895935641683963,adam,2.3054829506413685e-05
174,0.08032820947789474,0.05861092032532321,tanh,200,64,0.15,0.7,7,aQugf,70,0.4658552608454668,SGD,1.8400365827905071e-06
158,0.11622717352459147,0.06672817564577718,tanh,200,143,0.15,0.7,10,jqqh8,100,0.5821823378544707,adam,0.0006990806431619438
77,0.20328146504506495,0.088574194771152,elu,200,93,0.15,0.7,9,jIaTy,50,0.46265426061719533,adam,7.811981665758708e-06
167,0.15700346113290975,0.09217370978546485,tanh,200,56,0.15,0.7,6,EiSam,10,0.5251044223302902,adam,0.0049189295271415325
33,0.012270576936487976,0.05180155450971408,relu,200,109,0.15,0.7,8,pnc34,5,0.5267603305711738,adam,0.0036441019209528967
55,0.099316281002975,0.07551488070750297,tanh,200,40,0.15,0.7,10,cnx2d,70,0.46700626219343144,SGD,7.365439219590444e-05
90,0.30572950834748,0.031651118807498976,tanh,200,119,0.15,0.7,8,LOnPx,50,0.5928948484175528,adam,0.00018486982519912607
22,0.01901525582930505,0.08044331513368401,elu,200,134,0.15,0.7,9,SwPZg,50,0.5370387241535817,adam,3.767210600713531e-05
50,0.09122207192226928,0.040322057179375904,tanh,200,101,0.15,0.7,5,XyLpu,70,0.5835814917985966,adam,0.0010709493637776357
64,0.289489427296501,0.05416374700312808,tanh,200,140,0.15,0.7,4,TpLjj,100,0.5478422538931248,adam,0.00029958803977081413
85,0.042695731515850266,0.04537416066207274,relu,200,168,0.15,0.7,9,JEQF0,50,0.539621194818454,adam,0.006467480857101579
68,0.12627558227368912,0.03708987985307591,tanh,200,160,0.15,0.7,10,NvT8g,5,0.45499799372183036,SGD,1.6343436471177786e-05
127,0.14003964314714096,0.018591634066029684,tanh,200,147,0.15,0.7,3,XG8qu,70,0.5170194918595635,adam,0.0585039933986112
112,0.2644246718032945,0.06452849530202172,elu,200,87,0.15,0.7,7,LB00Q,10,0.5433626091370474,adam,0.010312327266048544
147,0.2324958606949637,0.06832544445728851,tanh,200,112,0.15,0.7,8,wx5fl,50,0.6167305644056464,adam,0.00010376710223352374
77,0.1931202856581965,0.05001163549051578,tanh,200,81,0.15,0.7,9,zjZG4,50,0.6212881212144836,adam,0.0019057568306491838
101,0.28100023021651066,0.062187096208445425,relu,200,152,0.15,0.7,10,BVOTv,70,0.44865207100466026,SGD,0.029095682909313633
17,0.06430064395461431,0.05897693368007371,tanh,200,94,0.15,0.7,7,jnx7d,100,0.5490547569142705,adam,0.016541632513551507
191,0.219967669846241,0.0430928130269181,tanh,200,129,0.15,0.7,6,nATnP,50,0.5661545916100355,adam,0.00014319751136089944
179,0.32984411605475206,0.09551845917607375,tanh,200,32,0.15,0.7,10,wzZxP,30,0.5235445231209318,adam,0.008375988764260872
26,0.11174946749480211,0.05646434357422943,elu,200,187,0.15,0.7,9,UZG8c,5,0.4896100948953309,adam,0.3550357057104308
11,0.1656873041204719,0.0993562787653994,tanh,200,26,0.15,0.7,8,w5KYx,70,0.45678202361418396,SGD,0.0013832897341258337
138,0.2461664789765359,0.03490604978037862,relu,200,180,0.15,0.7,8,pYPbQ,50,0.5654634002532551,adam,0.0029351858494106675
110,0.18710868426732835,0.07225921197433408,tanh,200,66,0.15,0.7,7,HoQAX,10,0.4923537447385451,adam,1.0445695382003718e-05
97,0.15089931976764204,0.030642861284242578,tanh,200,164,0.15,0.7,5,lgyal,50,0.5523726272349714,adam,0.0007975239953266503
48,0.07547566260848154,0.0473071824773702,tanh,200,122,0.15,0.7,9,WuAjG,70,0.6016151854514554,adam,0.000559285468197725
42,0.17729798246966144,0.08286146719610366,elu,200,175,0.15,0.7,10,h8dLn,30,0.5257768998235293,SGD,0.079570712669017
70,0.2962884740723269,0.08491275908761588,tanh,200,106,0.15,0.7,6,Z4ee1,50,0.5639850932255694,adam,0.00035212741749833374
37,0.11928601066879424,0.08723129713655903,relu,200,72,0.15,0.7,8,vPTaA,100,0.5264499239464341,adam,0.00022309661471426806
106,0.34915764303122254,0.021892449899616924,tanh,200,49,0.15,0.7,9,GoWzA,5,0.5879308516227357,adam,5.8330701576124106e-05
121,0.31592599825495876,0.07998768882867423,tanh,200,156,0.15,0.7,10,FfMci,70,0.5177576853637341,adam,0.04109689950374176
58,0.13439812553000832,0.09194024842300262,tanh,200,113,0.15,0.7,7,zgoyg,50,0.4804122154309877,SGD,0.004019791503990556
134,0.2545291361555671,0.07784313006020355,elu,200,132,0.15,0.7,7,rcvIe,10,0.5599524228274997,adam,0.142234232467273
93,0.36249639230321923,0.06548536105194896,tanh,200,89,0.15,0.7,8,HXTuV,50,0.5440737308019834,adam,0.2117881613039935
128,0.03729472751019697,0.06985348708073216,tanh,200,139,0.15,0.7,9,jlzCq,70,0.641691254222254,adam,0.002482869191805158
130,0.03666499981305032,0.02561690817691371,relu,200,147,0.15,0.7,9,YTqzL,30,0.531230729506994,adam,2.7797862334657957e-05
153,0.05422969011133191,0.028014651990770547,tanh,200,195,0.15,0.7,10,Dk4dh,50,0.4924952960878084,SGD,3.4434855847235283e-06
161,0.02240336897742201,0.05111097498722418,tanh,200,150,0.15,0.7,8,Zzh2l,100,0.6063781244672473,adam,0.012369269168512357
148,0.0025490262485133516,0.05437774203091403,elu,200,140,0.15,0.7,9,k1rNy,70,0.5976562954284662,adam,0.00047952047643582335
169,0.01200334573725971,0.061634661327436495,tanh,200,170,0.15,0.7,6,KNuwW,5,0.5484180940945784,adam,0.0023168270706469874
128,0.02702546875049114,0.07419649066430899,tanh,200,164,0.15,0.7,10,JtcIw,50,0.5972058427754716,adam,0.0009867824607928215
114,0.09177142132111601,0.06685875745315875,relu,200,125,0.15,0.7,8,lfFkA,10,0.48099756270088634,SGD,0.00032307729812181056
117,0.2081995531136554,0.03961627222473868,tanh,200,135,0.15,0.7,7,dlg4h,70,0.6155809920188463,adam,0.005217528429325596
124,0.3826786347805382,0.07653401386457992,tanh,200,119,0.15,0.7,10,mFqul,50,0.6091555280774571,adam,0.0015899372579145413
139,0.0465866534594494,0.059066338620388036,elu,200,144,0.15,0.7,2,aooaB,30,0.5505703624930262,adam,0.00016257702553425116
188,0.034361414102572596,0.04151896987481901,tanh,200,158,0.15,0.7,9,E3PXk,50,0.6041508243909723,adam,0.0007418704843118938
198,0.06491936988173211,0.06970783743852377,tanh,200,175,0.15,0.7,9,IrPmQ,70,0.5069881593315055,adam,0.020363552132582896
157,0.3389929083545331,0.04439544981102107,relu,200,185,0.15,0.7,8,X6Jy4,100,0.4697858804252496,SGD,8.599974385172756e-05
103,0.104882823281361,0.048637194331405925,tanh,200,153,0.15,0.7,7,iTteh,5,0.5402836718748254,adam,0.0002512497377424239
87,0.0790842298629153,0.07092051735126365,tanh,200,116,0.15,0.7,9,RUhbs,70,0.585940154989361,adam,0.007322520922548772
143,0.15771112720425434,0.08107119321171585,tanh,200,98,0.15,0.7,10,dRg2l,70,0.5966312730041009,adam,0.0030972141336658788
133,0.14606520128059153,0.056395435217127046,tanh,200,110,0.15,0.7,9,lBLYk,70,0.6166898646161905,adam,0.0022031355699255817
108,0.1203605814096125,0.06286129394807848,tanh,200,127,0.15,0.7,10,ViTeX,70,0.5897091776341767,adam,0.0012358967513859947
96,0.10049835984401578,0.06400361193624161,tanh,200,141,0.15,0.7,9,I193n,70,0.5254321483291398,adam,0.027905267175109303
81,0.05525239058936879,0.06797935872017417,tanh,200,78,0.15,0.7,8,SXwdb,70,0.632114177467409,adam,0.008908236376212401
79,0.0561438266321916,0.07266297631301356,tanh,200,57,0.15,0.7,8,rExRq,70,0.464895171461427,adam,0.10856742719709805
73,0.0408349633676682,0.05366446105134385,tanh,200,79,0.15,0.7,8,LtpA4,70,0.651893637146378,adam,0.01073488464950888
64,0.04020854061197639,0.0476283656779873,tanh,200,84,0.15,0.7,8,QNd1t,70,0.5588727054808075,adam,0.013151370191878913
32,0.23929246934058834,0.05329761913642799,tanh,200,105,0.15,0.7,7,eXsu3,70,0.6069612710534814,adam,0.003787750806615849
90,0.01104511566359868,0.04566859526294905,tanh,200,43,0.15,0.7,8,D52q7,50,0.580099039590048,adam,0.0017270899947176375
52,0.002226504459796212,0.03629258939009556,tanh,200,62,0.15,0.7,7,Ucdle,10,0.5293911330846781,adam,0.017211411398978183
119,0.08843303210901811,0.051814205824459655,tanh,200,69,0.15,0.7,6,E3tza,70,0.5681218915405112,adam,0.0047740174219036
73,0.07257443226822585,0.059854291866867346,tanh,200,121,0.15,0.7,9,t9FUO,50,0.5051844233042789,adam,0.4849419013935618
19,0.020960941178679415,0.05019335842234304,tanh,200,137,0.15,0.7,8,SjExr,70,0.5711847015634103,adam,0.00046572483506723535
28,0.22972513214300688,0.056831349353726184,tanh,200,129,0.15,0.7,9,Iqa4y,30,0.5937450852269853,adam,0.0006852396907767208
101,0.02780322259902044,0.05503258632757509,elu,200,10,0.15,0.7,10,Nvopg,50,0.5338256200672175,adam,0.002608396795391734
47,0.044132437958476385,0.014014335681599183,tanh,200,115,0.15,0.7,4,o1Wry,100,0.575463256439395,adam,0.0009755339834001315
84,0.274859902111612,0.042039094601831146,tanh,200,95,0.15,0.7,5,Ue8ey,70,0.5729764267049189,adam,0.04975058003653826
113,0.06625163793288391,0.0644683850307208,relu,200,102,0.15,0.7,8,zS9P5,5,0.5161090221353346,adam,0.006643537526533545
75,0.08627647517672597,0.07885814922230379,tanh,200,90,0.15,0.7,7,lacUy,50,0.5126243231451049,SGD,0.023620888504190533
