epochs,optimizer,batch_size,layer_2,preweight,trialJobId,dropout,reward,layer_1,regularization,train_frac,learning_rate,activation,test_frac
200,adam,30,157,4,DlEIr,0.21319009589692028,0.5868718185858183,144,0.0037200477975005263,0.7,4.44793621486161e-05,elu,0.15
200,adam,70,199,3,Ewj8D,0.08494073665429624,0.585385501260044,44,0.03471036416428644,0.7,0.0001365827534500609,tanh,0.15
200,SGD,100,143,7,qMAKY,0.24046988277298995,0.4995413835535503,166,0.09710548129122422,0.7,0.0004042326252613005,tanh,0.15
200,adam,50,85,9,aF1Aa,0.2636896054031482,0.5595879583791756,174,0.021842633185373467,0.7,1.712051089921577e-06,elu,0.15
200,adam,5,172,10,SmtuX,0.001662426126963934,0.6263067713017388,16,0.015016570807102616,0.7,0.002581931976829197,relu,0.15
200,adam,10,132,7,mqr4g,0.27671361373534725,0.6161210144966864,124,0.02465102885630275,0.7,0.0002430945704444286,tanh,0.15
200,SGD,70,73,8,tvVGl,0.11478766254371604,0.4936845306648827,114,0.044383391679558924,0.7,8.505538912738506e-05,tanh,0.15
200,adam,100,17,2,MGCNT,0.16555247774465043,0.6145546814945566,107,0.007326739054525903,0.7,0.0009904231405979068,elu,0.15
200,adam,30,50,6,fej6Z,0.0994294871285205,0.6264954742694616,131,0.05195683848743863,0.7,2.796940263003577e-05,tanh,0.15
200,adam,50,100,3,L1wIc,0.034884016802970846,0.5860250277609432,103,0.06452827726741317,0.7,0.0006614731900307101,elu,0.15
200,adam,70,11,9,isfUq,0.21942132023086625,0.6155994946941847,196,0.00012736546162133225,0.7,6.0074460630555395e-05,tanh,0.15
200,SGD,100,191,5,fyx6d,0.13106078602701027,0.5462752077410364,157,0.030450909889358377,0.7,0.012062712588409534,relu,0.15
200,adam,50,39,4,jQMSy,0.2961273596107944,0.5154946543681418,64,0.011039239357987098,0.7,3.184132393897005e-06,tanh,0.15
200,adam,10,121,8,hqw19,0.0668057595824441,0.5935181624680373,138,0.07383295322400511,0.7,0.00050807318453161,elu,0.15
200,adam,70,110,10,uWw19,0.15192149691891982,0.5420786987802392,75,0.04496809118284807,0.7,0.06183209860835154,tanh,0.15
