,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
szLQY,0.05720799536330803,5.0,0.12418924951977675,SGD,relu,1.4942907357596368e-05,36.0,200.0,0.7,0.15,200.0,0.6791686108675568,0.04328176865135885,-1,-1
hG7Vy,0.008492545176381485,5.0,0.13384555271482496,SGD,relu,3.479101245783888e-05,69.0,56.0,0.7,0.15,200.0,0.5547405051706648,0.06134455602261237,-1,-1
fl363,0.08301220584800405,50.0,0.12977788111659774,SGD,relu,8.382404404747566e-05,51.0,166.0,0.7,0.15,200.0,0.5295431614288064,0.06812007039213802,-1,-1
XRt6Q,0.26139908444355464,30.0,0.07282488323376485,SGD,relu,6.738795095624132e-05,96.0,74.0,0.7,0.15,200.0,0.6303302438011605,0.04037746116915893,-1,-1
EMLsu,0.0001583213284793802,10.0,0.0016758634924217836,SGD,tanh,2.0432125994183772e-05,60.0,139.0,0.7,0.15,200.0,0.5109615945167076,0.016150928978053935,-1,-1
g2SXF,0.20735626558268766,5.0,0.11914142908080706,SGD,relu,5.3783541452683765e-08,90.0,190.0,0.7,0.15,200.0,0.6719645856469543,0.04212124382364425,-1,-1
xTQFS,0.37180615863192035,100.0,0.10398789348162132,SGD,relu,2.343855499685655e-05,81.0,49.0,0.7,0.15,200.0,0.66221670132697,0.023807730863986052,-1,-1
FM1zd,0.04037568687863257,30.0,0.14259233518092196,SGD,relu,3.4677892450393615e-06,55.0,159.0,0.7,0.15,200.0,0.6509077155344146,0.040918313922180455,-1,-1
a5RnT,0.026560247336448475,5.0,0.07987918245497479,SGD,relu,7.273028895722881e-05,22.0,37.0,0.7,0.15,200.0,0.5790679089015296,0.0715094576821379,-1,-1
XqMei,0.014224404727068159,70.0,0.1121342659729841,SGD,tanh,2.826198662460599e-05,74.0,93.0,0.7,0.15,200.0,0.47552181375831487,0.06239393750711625,-1,-1
ANzLM,0.14650400733390945,5.0,0.06991146772373114,SGD,relu,6.487245750721178e-06,45.0,170.0,0.7,0.15,200.0,0.7008071481243373,0.07076623382282698,-1,-1
fwXZz,0.019597839751296305,5.0,0.031217332225128465,SGD,relu,7.254561809994983e-06,30.0,52.0,0.7,0.15,200.0,0.637318779127545,0.05793759148301579,-1,-1
akptJ,0.13140839280307698,5.0,0.04581264151325021,SGD,relu,1.3293948341342602e-05,38.0,27.0,0.7,0.15,200.0,0.5956059640860262,0.028514078295925654,-1,-1
FLd1f,0.053210045929655,5.0,0.02278139361633432,SGD,relu,9.984552323037246e-06,17.0,42.0,0.7,0.15,200.0,0.5695072877544214,0.02366163989348678,-1,-1
usyyE,0.004429044676796611,5.0,0.05333538692682642,SGD,relu,2.1159116724034354e-06,24.0,197.0,0.7,0.15,200.0,0.6391129463974549,0.05066849295189439,-1,-1
L6uam,0.0674915105089271,5.0,0.014751418115505566,SGD,relu,1.7670579900644162e-05,44.0,84.0,0.7,0.15,200.0,0.6319571374205338,0.07152574656968466,-1,-1
HKFtN,4.513140910421435e-06,5.0,0.0693820888225687,SGD,relu,5.502350057013278e-06,31.0,34.0,0.7,0.15,200.0,0.47228274612170223,0.03249351981735572,-1,-1
l6lHU,0.010216745911260238,5.0,0.07550672174391253,SGD,relu,1.474725081939803e-05,13.0,61.0,0.7,0.15,200.0,0.5582151688518308,0.04256425006794829,-1,-1
