,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
RRzN0,0.010560000403374434,100.0,0.02357614805522138,SGD,tanh,5.461881014737664e-05,100.0,163.0,0.7,0.15,200.0,0.48790639344243714,0.06467125375752851,-1,-1
mRGOZ,0.0029340894287927244,30.0,0.12722871047668757,SGD,relu,2.669802095576825e-05,162.0,136.0,0.7,0.15,200.0,0.5020396626389438,0.0354232841348197,-1,-1
rwqzl,0.00036666918749340337,50.0,0.1402081037573141,adam,elu,1.9846795933368933e-05,189.0,101.0,0.7,0.15,200.0,0.5587518214407104,0.05130618495512383,-1,-1
B3TJ2,0.056655487658995016,70.0,0.09999104272374393,SGD,tanh,4.8547074985942736e-05,80.0,68.0,0.7,0.15,200.0,0.5342249875823142,0.03142251154985872,-1,-1
FluOf,0.0010544194370918965,100.0,0.0636829024416363,SGD,tanh,6.910327198428016e-05,19.0,147.0,0.7,0.15,200.0,0.4929375027797464,0.00828040173497908,-1,-1
nFgkU,0.006261192758663387,30.0,0.07166587993334488,SGD,tanh,4.148504005104546e-06,110.0,39.0,0.7,0.15,200.0,0.5387026826263854,0.07526929832382691,-1,-1
XMdjE,3.3871494519501974e-06,10.0,0.05251586592845246,adam,relu,6.445861448587261e-05,91.0,165.0,0.7,0.15,200.0,0.5248128271162893,0.034722540075146135,-1,-1
dQHpi,0.020334991831119323,100.0,0.13165690854191855,SGD,elu,3.488848006496742e-05,132.0,199.0,0.7,0.15,200.0,0.468501266148264,0.07668608030123378,-1,-1
uD1pn,0.1172828176336547,50.0,0.036228303545728896,SGD,tanh,1.4871009718805812e-05,157.0,88.0,0.7,0.15,200.0,0.5918424619503948,0.04373847680480502,-1,-1
UCSBS,0.0012506637365703847,70.0,0.08283163723625644,SGD,tanh,3.960819643526445e-05,170.0,112.0,0.7,0.15,200.0,0.4834107143874685,0.021475423765918072,-1,-1
bIWbG,0.0004784432037389424,30.0,0.09357971191847152,adam,tanh,4.708846974149737e-05,100.0,53.0,0.7,0.15,200.0,0.5644885501983292,0.05704812734433391,-1,-1
ubbtj,5.599354155766121e-05,100.0,0.1054022899403024,SGD,tanh,2.2791220703799958e-05,125.0,79.0,0.7,0.15,200.0,0.5015544045459034,0.0379668064256933,-1,-1
cinkC,0.031607262280668916,5.0,0.1137393312143503,SGD,relu,2.6546749367531115e-05,75.0,122.0,0.7,0.15,200.0,0.5558264291530725,0.04014493088952359,-1,-1
vlVaM,0.002247277385335077,30.0,0.0774615698254704,SGD,elu,3.237915162696306e-05,112.0,134.0,0.7,0.15,200.0,0.5181533524861817,0.06143986680088264,-1,-1
evoZj,0.19294084242089718,100.0,0.14623046638810078,SGD,tanh,8.221158571407081e-05,59.0,184.0,0.7,0.15,200.0,0.5466324008638441,0.03846561559743912,-1,-1
oytF2,0.05420213755027919,10.0,0.12036589553015971,adam,tanh,6.507986538983689e-05,143.0,35.0,0.7,0.15,200.0,0.5158762213073299,0.020351068345317774,-1,-1
rczJa,0.32760396359711863,50.0,0.0011916067957240032,SGD,elu,6.16921267161341e-05,26.0,108.0,0.7,0.15,200.0,0.5718615936619182,0.05668877083081842,-1,-1
XsBXy,0.07704332592680564,50.0,0.093353695174737,SGD,elu,5.605909460788547e-05,38.0,101.0,0.7,0.15,200.0,0.551560624423637,0.03100078236554123,-1,-1
IOfNP,0.09284380960073306,50.0,0.014415402617174104,SGD,elu,5.91657380481996e-05,16.0,128.0,0.7,0.15,200.0,0.6322002096760481,0.05783558100290377,-1,-1
EGIYv,0.013482837732349725,50.0,0.03397345408031551,SGD,elu,7.535255737896515e-05,152.0,128.0,0.7,0.15,200.0,0.5198259221146561,0.07057043841886612,-1,-1
