,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
MFfx6,5.693727504172267e-06,50.0,0.030178016903797455,SGD,elu,5.779882054756749e-05,104.0,158.0,0.7,0.15,200.0,42.0,0.45720727631233327,0.05089456150659393,-1,-1
DkkyR,7.682664382884606e-05,30.0,0.018442944119835842,adam,elu,7.503695281611418e-05,95.0,45.0,0.7,0.15,200.0,14.0,0.5511292382892676,0.02297476813190316,-1,-1
KhmRy,0.00010836046644682218,10.0,0.0003304010881932938,SGD,elu,2.5193926954655138e-05,40.0,63.0,0.7,0.15,200.0,62.0,0.49794479267859915,0.013062951319959834,-1,-1
VtiUf,0.00045866749742382224,30.0,0.0629791596891148,adam,elu,4.3243234548755085e-06,22.0,120.0,0.7,0.15,200.0,70.0,0.5906228393468334,0.034056831139872956,-1,-1
KrIt7,3.7312810579998276e-05,5.0,0.044470918689238574,SGD,tanh,7.029393173764793e-05,60.0,81.0,0.7,0.15,200.0,17.0,0.46831666706478303,0.03907273672896482,-1,-1
eKr9k,0.005355882593634242,30.0,0.0718196006341428,adam,elu,3.17498738083326e-05,30.0,174.0,0.7,0.15,200.0,31.0,0.6092346881913959,0.07727796762884498,-1,-1
jQdsf,0.0008646833293413522,100.0,0.008373129852062261,SGD,relu,8.493680666222256e-05,70.0,196.0,0.7,0.15,200.0,68.0,0.4703620945389558,0.019649668527790685,-1,-1
H1nmg,0.002719994776875392,70.0,0.017161109678201593,adam,elu,8.09897601217623e-05,66.0,108.0,0.7,0.15,200.0,58.0,0.5849843049706338,0.058135986687664884,-1,-1
sUbD4,0.026093781911459172,10.0,0.011911581449444231,adam,elu,8.844764304891227e-05,16.0,156.0,0.7,0.15,200.0,20.0,0.4994179094781635,0.04107121843161546,-1,-1
ZOw64,0.00027510278065311154,30.0,0.06571964533094109,SGD,elu,7.798852490148634e-05,111.0,93.0,0.7,0.15,200.0,12.0,0.4806557946878488,0.039094463488364206,-1,-1
RrfYC,0.010802507703422452,50.0,0.025378923304919566,adam,tanh,6.758119021909399e-05,52.0,142.0,0.7,0.15,200.0,23.0,0.6039925669101863,0.04914149950456603,-1,-1
vRjdm,0.0015591589081451079,10.0,0.03364878879518186,SGD,elu,4.63696450958643e-05,56.0,138.0,0.7,0.15,200.0,55.0,0.5164820763542668,0.0722505279729161,-1,-1
rEFND,0.015202275858222185,30.0,0.060800910821487295,adam,relu,1.4087873427766835e-05,100.0,148.0,0.7,0.15,200.0,28.0,0.5311947505619339,0.030465196216529156,-1,-1
fdlyo,2.3688263718104914e-05,5.0,2.5514240392112493e-05,adam,elu,9.533009039339107e-05,90.0,115.0,0.7,0.15,200.0,26.0,0.5477404109934118,0.06793016679368895,-1,-1
Vv7oi,0.061871349459269455,30.0,0.07849707137946366,SGD,elu,6.297442643754893e-05,130.0,193.0,0.7,0.15,200.0,51.0,0.5937521152505221,0.07658724704110247,-1,-1
nXxn7,0.00021228883481467655,100.0,0.02883412369299366,adam,elu,8.320057962518352e-05,79.0,169.0,0.7,0.15,200.0,39.0,0.6240918315590884,0.07558187268858557,-1,-1
mx9jK,0.0006153181946872674,70.0,0.08897285310858671,SGD,tanh,3.7983050145731824e-05,121.0,35.0,0.7,0.15,200.0,66.0,0.46697466091682205,0.04053279485207846,-1,-1
czm1Z,3.6395699032277867e-06,10.0,0.12230463760992143,adam,elu,2.7352217053428706e-05,138.0,26.0,0.7,0.15,200.0,15.0,0.4861820405354885,0.03687037532152286,-1,-1
DjUL1,7.705975929577403e-06,30.0,0.09738446755802349,adam,relu,3.481643044343226e-05,144.0,10.0,0.7,0.15,200.0,18.0,0.4419315701359051,0.048402349162542026,-1,-1
ZQJ0o,0.13403722778081475,50.0,0.11349641899106697,SGD,elu,6.026384572966694e-05,63.0,199.0,0.7,0.15,200.0,35.0,0.5378192016860686,0.05018417031151039,-1,-1
JrFrt,0.0034783034499501525,30.0,0.04134287332133136,adam,elu,4.329190656229044e-05,32.0,187.0,0.7,0.15,200.0,11.0,0.5895267494363507,0.01440199794557207,-1,-1
ciHKf,0.00037944194664054465,10.0,0.022130090350756065,SGD,elu,4.047859448823e-05,36.0,68.0,0.7,0.15,200.0,24.0,0.4876325541490937,0.028096489673495515,-1,-1
tdIqk,0.0011330976353039277,30.0,0.014533045381255839,adam,tanh,2.3747689764907712e-05,10.0,132.0,0.7,0.15,200.0,30.0,0.5534840176090464,0.053497259945547236,-1,-1
rG7ym,2.0876022656117393e-06,5.0,0.0032261115488691535,adam,elu,6.512509036971128e-05,73.0,100.0,0.7,0.15,200.0,20.0,0.4839238025559059,0.024164598080070866,-1,-1
uk8n2,1.6273725167212884e-05,100.0,0.005919435374741978,SGD,relu,5.676583850955612e-05,42.0,150.0,0.7,0.15,200.0,44.0,0.46237802864843996,0.0433433756790008,-1,-1
sWdnt,0.0070621097766817575,70.0,0.0511612672323572,adam,elu,7.1895979787911e-05,48.0,18.0,0.7,0.15,200.0,33.0,0.5857998948283992,0.05067754419792836,-1,-1
ESQ1e,0.00011388114169062534,10.0,0.05632376454414575,adam,elu,7.648685026820593e-06,151.0,53.0,0.7,0.15,200.0,41.0,0.5116609564547312,0.05845172661335728,-1,-1
AZMaJ,0.0022040168000046012,30.0,0.0354372557535207,SGD,elu,7.461090864475225e-05,25.0,78.0,0.7,0.15,200.0,27.0,0.4828169908702339,0.07812528543507466,-1,-1
abZ5H,0.021941791809281873,30.0,0.04575781651476994,adam,tanh,9.024167871029248e-05,83.0,162.0,0.7,0.15,200.0,16.0,0.5155757569496215,0.04682574057831551,-1,-1
HlGPm,3.0105292019986985e-05,50.0,0.13768289191248564,SGD,elu,5.275783701357554e-05,157.0,105.0,0.7,0.15,200.0,22.0,0.4584770349260701,0.059110476200167496,-1,-1
s0ZKr,8.603066017888354e-05,10.0,0.020389224081307937,adam,relu,9.988092258203673e-05,94.0,125.0,0.7,0.15,200.0,65.0,0.5556544832828662,0.051962858147099215,-1,-1
Pu0ZJ,1.014776217335312e-05,5.0,0.13170979882470962,adam,elu,7.934721855492165e-05,76.0,175.0,0.7,0.15,200.0,46.0,0.572213819815543,0.05283512444785143,-1,-1
cVOWg,0.0002887764992830019,30.0,0.011855492799423242,SGD,elu,1.9990554720638927e-05,116.0,181.0,0.7,0.15,200.0,13.0,0.4816389575601504,0.019507658699684318,-1,-1
kmTVb,0.00015971066074411586,100.0,0.02363327950323344,adam,elu,8.67627687080776e-05,60.0,40.0,0.7,0.15,200.0,29.0,0.5819938227774455,0.05910903682473837,-1,-1
OOaen,4.530509219975816e-05,70.0,0.10284104310455983,SGD,tanh,3.209627823878503e-05,125.0,119.0,0.7,0.15,200.0,61.0,0.5037981998315294,0.04604634043049018,-1,-1
MAKbb,0.0005164131232695827,10.0,0.03984292765666166,adam,elu,1.5357790166390275e-05,70.0,130.0,0.7,0.15,200.0,37.0,0.5814037709179292,0.04639258373998258,-1,-1
ucVAB,0.004188226776381152,30.0,0.03159800312649509,adam,relu,4.932617645973797e-05,167.0,112.0,0.7,0.15,200.0,18.0,0.6702753994625846,0.08701910773301025,-1,-1
ptNci,0.011992954827610543,50.0,0.05875612691660331,SGD,relu,3.6864542544038075e-05,166.0,85.0,0.7,0.15,200.0,18.0,0.5447179831876527,0.0839517891877378,-1,-1
