,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
bT2Nb,8.762202416345215e-05,50.0,0.3972849010854476,SGD,tanh,0.03306432046731831,135.0,128.0,0.7,0.15,200.0,64.0,0.46398050167443766,0.11414251118935706,0.46547049441786276,0.15098625475803898
rszKp,4.273650043191133e-05,50.0,0.21077385561675813,SGD,tanh,0.055194055767161215,35.0,112.0,0.7,0.15,200.0,18.0,0.440696604292381,0.12924635352326452,0.5277511961722487,0.16282391869296586
zVbgf,6.373697707529059e-05,5.0,0.13008807187469548,SGD,elu,0.08731366584739565,143.0,141.0,0.7,0.15,200.0,40.0,0.4584770144388246,0.10130398700376705,0.5133971291866029,0.12222661579705979
HOKyH,1.164195365923272e-06,10.0,0.01130422781450311,SGD,relu,0.04874366860219377,101.0,87.0,0.7,0.15,200.0,20.0,0.40537432234093196,0.10846298311533333,0.5311004784688995,0.07484296384986949
PfhDJ,0.000584472672606249,70.0,0.39412514032149354,adam,relu,0.07292312729992204,15.0,116.0,0.7,0.15,200.0,45.0,0.6132801850223457,0.11904401904125136,0.6551036682615631,0.1856654742616043
I2YNV,0.0007019199382873497,50.0,0.12777835875780616,adam,elu,0.03463419622371871,126.0,193.0,0.7,0.15,200.0,44.0,0.796690122967715,0.12309315990416962,0.7966507177033492,0.12641452571414144
vleLX,0.13513731110042024,5.0,0.3478952819326542,adam,tanh,0.03455797040053922,176.0,183.0,0.7,0.15,200.0,36.0,0.6291871697571418,0.11624469869512236,0.5396331738437,0.14160939391219746
M1V3y,0.08568576585980887,5.0,0.113375958101962,SGD,tanh,0.05202150007113319,75.0,73.0,0.7,0.15,200.0,31.0,0.7208271018357079,0.13303986072936577,0.7941786283891548,0.13119970962921812
pfguI,6.2446141404810465e-06,100.0,0.08973396480857372,SGD,relu,0.05835295651663355,141.0,167.0,0.7,0.15,200.0,47.0,0.42680959729692847,0.1268712011374906,0.5587719298245614,0.08012433613445451
eN9ul,0.03777000577062618,30.0,0.05625183590338861,adam,relu,0.08049368865588757,17.0,101.0,0.7,0.15,200.0,45.0,0.5918623528860196,0.0880095355486228,0.5,0.0
CDMf0,1.7051879804633317e-06,10.0,0.23153968290589577,SGD,elu,0.0556515278044631,114.0,160.0,0.7,0.15,200.0,32.0,0.4708519195502837,0.10426678548450204,0.5153110047846889,0.1344119168551573
Rr5Yf,4.2243536081864184e-05,30.0,0.21620972029082675,SGD,tanh,0.09160907951564551,173.0,111.0,0.7,0.15,200.0,67.0,0.435147414532351,0.08892672832112136,0.5137161084529505,0.1382002289510722
wdU7m,6.779865338523455e-06,5.0,0.2527605147615874,SGD,tanh,0.07265064086410174,58.0,98.0,0.7,0.15,200.0,53.0,0.4736208443600309,0.08630043743013663,0.4529505582137161,0.09070740659873293
hejTw,0.013426618810943227,5.0,0.27190302655021015,SGD,elu,0.017815469505722548,64.0,132.0,0.7,0.15,200.0,50.0,0.7686103417824937,0.13601209534101094,0.8287081339712918,0.09497657872508543
GZyIL,0.05227238694800037,10.0,0.09842856319884824,SGD,tanh,0.06948011922539858,35.0,58.0,0.7,0.15,200.0,44.0,0.6617516875040672,0.1452083144047648,0.7338915470494418,0.14049491032627623
hVmzp,0.3033572515538541,100.0,0.2379704010278382,SGD,relu,0.05775987375420023,41.0,198.0,0.7,0.15,200.0,55.0,0.6369256576756577,0.1522709784174874,0.669377990430622,0.17404375185980267
aHSNv,7.52427691753694e-05,50.0,0.3482565637089751,adam,tanh,0.07085490684819988,194.0,131.0,0.7,0.15,200.0,63.0,0.5959841679045506,0.1228551513958523,0.6567783094098884,0.1644334250664891
SFRxb,0.0058055668224239335,10.0,0.2008962837720627,adam,relu,0.07106891911140058,104.0,95.0,0.7,0.15,200.0,69.0,0.6093583946781929,0.13209957998680122,0.5,0.0
Bf9yI,0.0011702507193089772,30.0,0.2985976229973871,adam,elu,0.09979576126457514,59.0,50.0,0.7,0.15,200.0,32.0,0.7086086634434542,0.115473540845392,0.7165869218500797,0.13931225457832402
VMK8j,0.0026672548661185107,30.0,0.16357582664053114,SGD,elu,0.055670957021167616,118.0,146.0,0.7,0.15,200.0,57.0,0.613400900482248,0.10733714904955478,0.6513556618819776,0.15081041510233334
b0WiZ,0.02505797624118317,10.0,0.25213162871469375,SGD,elu,0.08208820757929426,55.0,14.0,0.7,0.15,200.0,40.0,0.6380743461803636,0.09266080121465103,0.7465709728867623,0.07223471948511796
m8mOo,0.0946260156443542,30.0,0.32244072756132547,SGD,relu,0.0969713452457241,43.0,132.0,0.7,0.15,200.0,10.0,0.5760838609919492,0.07777015854964135,0.6131578947368421,0.1323703664967049
diGQG,0.00045315610030778066,30.0,0.35270761972813547,adam,relu,0.043275919826362086,120.0,166.0,0.7,0.15,200.0,12.0,0.6834297018638469,0.1976044293319036,0.7311802232854865,0.18189561922956182
omGfZ,0.001775052195993602,50.0,0.19031082955532616,adam,elu,0.001964921136269482,92.0,53.0,0.7,0.15,200.0,51.0,0.8560300903751544,0.05577607416561757,0.8760765550239235,0.031698338899620884
eMB2M,0.0003115174292148772,50.0,0.21951098072513986,adam,elu,0.04355658288193906,131.0,191.0,0.7,0.15,200.0,49.0,0.8304110724974947,0.07841962939909607,0.8968102073365231,0.02452253599424354
