optimizer,layer_1,train_frac,epochs,layer_2,intermediate,reward,batch_size,learning_rate,preweight,trialJobId,activation,regularization,dropout,test_frac
adam,24,0.7,200,62,"[0.9323469387755102,0.937884824602978]",0.937884824602978,5,2.8042055483778783e-06,7,X72Dy,elu,0.007571157557878929,0.06402607059322646,0.15
SGD,65,0.7,200,89,"[0.9263265306122447,0.9636734815687008]",0.9636734815687008,100,0.04597306486999318,8,bGWhC,relu,0.08924575852069429,0.01431603863012712,0.15
adam,93,0.7,200,82,"[0.9356122448979592,0.9811064104074234]",0.9811064104074234,30,0.024976717818085855,8,ZgZca,elu,0.01818218585730952,0.1201313496023218,0.15
adam,33,0.7,200,48,"[0.9480612244897959,0.9714395356650366]",0.9714395356650366,10,0.00011205332899810706,6,aNy0x,relu,0.035353281861609916,0.23546586103211153,0.15
adam,47,0.7,200,96,"[0.9555102040816326,0.9824314446533616]",0.9824314446533616,30,0.00016432550328683923,10,tCiJx,elu,0.028728660259352536,0.16533084390540292,0.15
SGD,61,0.7,200,103,"[0.9549999999999998,0.9827426776889322]",0.9827426776889322,30,0.19557364615368691,5,dRsTV,tanh,0.09800088607352037,0.1424646693304374,0.15
adam,137,0.7,200,61,"[0.9492857142857142,0.9747081806659523]",0.9747081806659523,5,5.663378356036148e-05,7,ZxdZS,elu,0.046032561820746616,0.19091074991289947,0.15
adam,148,0.7,200,115,"[0.9478571428571427,0.9827365512892314]",0.9827365512892314,70,0.0021306248895720473,8,eU0Cs,relu,0.03767611273617207,0.2904390502736827,0.15
adam,73,0.7,200,43,"[0.959591836734694,0.9826491522034138]",0.9826491522034138,50,0.001159638670426236,7,zOvNO,tanh,0.058274120869550694,0.04708620788231314,0.15
adam,171,0.7,200,68,"[0.9635714285714286,0.9847277410588194]",0.9847277410588194,30,0.005672625757399573,10,BBNCi,tanh,0.0039749429548922265,0.21205151682491227,0.15
SGD,159,0.7,200,86,"[0.9215306122448979,0.9395484213723007]",0.9395484213723007,10,0.0005264170736172602,4,rEyWa,elu,0.07726972019529338,0.08571150398483723,0.15
adam,109,0.7,200,41,"[0.9640816326530611,0.9826431710668798]",0.9826431710668798,100,0.016037991480808558,9,D2t3y,tanh,0.023919209588921755,0.1735903063847579,0.15
adam,16,0.7,200,19,"[0.9533673469387753,0.9850395257730333]",0.9850395257730333,30,0.00044218033763937184,8,eALbM,elu,0.015273745377843845,0.12131113732916535,0.15
adam,54,0.7,200,22,"[0.43336734693877554,0.950971915112296]",0.950971915112296,50,0.49939798796223384,9,Vaxp2,tanh,0.08837819807177805,0.3789017778193402,0.15
SGD,96,0.7,200,148,"[0.9564285714285713,0.9817585543868077]",0.9817585543868077,30,0.08021658683998512,6,ZBkwv,relu,0.009223105152756468,0.09683088414489693,0.15
adam,37,0.7,200,54,"[0.9572448979591837,0.9817698512415756]",0.9817698512415756,70,0.0031644546534677722,10,egEZp,tanh,0.052737509659789995,0.030509090944636483,0.15
adam,90,0.7,200,109,"[0.9596938775510205,0.9828086255415581]",0.9828086255415581,5,0.01698702155057986,8,TKeoT,tanh,0.02870745230603039,0.012064774702018902,0.15
adam,10,0.7,200,20,"[0.9321428571428572,0.9531480501057823]",0.9531480501057823,30,3.8466946423397105e-05,8,u8UYV,elu,0.013571479716945287,0.11908321062798125,0.15
adam,19,0.7,200,193,"[0.9594897959183675,0.9853526925236793]",0.9853526925236793,30,0.0010836774975058604,7,IKID8,elu,0.0026186382099925316,0.130851250360841,0.15
adam,29,0.7,200,172,"[0.9579591836734693,0.9824597838209606]",0.9824597838209606,30,0.0001796593791083318,7,tvpLZ,elu,0.0025144234819230874,0.08208214956126358,0.15
adam,42,0.7,200,185,"[0.953265306122449,0.9846895542250558]",0.9846895542250558,30,0.001338949188114926,6,lBkIk,elu,0.018377706968024862,0.13393549470982158,0.15
adam,19,0.7,200,196,"[0.9318367346938775,0.9851040232071462]",0.9851040232071462,30,0.007197308089045865,7,RSg6z,elu,0.005045726416485968,0.10804992729142333,0.15
adam,70,0.7,200,178,"[0.9524489795918367,0.9866447645730512]",0.9866447645730512,30,0.002258884585765084,5,Udtax,elu,0.009467844433253207,0.14917713939622673,0.15
adam,69,0.7,200,163,"[0.9564795918367347,0.9841568612811213]",0.9841568612811213,30,0.00238948830748527,5,d6P9c,elu,0.00021643988255103976,0.18789760080321377,0.15
adam,85,0.7,200,177,"[0.9507142857142858,0.983747432599641]",0.983747432599641,30,0.004004115964779632,4,nVOti,elu,0.02188652398130457,0.07068587039508609,0.15
adam,115,0.7,200,157,"[0.9386734693877552,0.9866057238256687]",0.9866057238256687,30,0.036995345066894725,3,Ma287,elu,0.01044669267443082,0.14563367335090951,0.15
adam,121,0.7,200,158,"[0.9372448979591838,0.9863480227532818]",0.9863480227532818,10,0.03268216566515503,3,vJagO,elu,0.01041513760819822,0.15124268252920497,0.15
adam,191,0.7,200,182,"[0.6039285714285715,0.9455805233374315]",0.9455805233374315,50,0.19580705091141154,3,jRPv8,tanh,0.03149907670629702,0.2191221204826658,0.15
adam,134,0.7,200,168,"[0.9535714285714286,0.975010022983757]",0.975010022983757,100,0.00033653042403656674,4,K5y2d,elu,0.016083347235574315,0.23864491169893218,0.15
