learning_rate,reward,layer_2,preweight,test_frac,train_frac,dropout,batch_size,regularization,layer_1,activation,epochs,trialJobId,optimizer,intermediate
1.2075423127534147e-05,0.4085364221070127,101,8,0.15,0.7,0.18971436094125382,50,0.035216749705502835,83,elu,200,Kmt44,SGD,"[0.4572314049586777,0.4085364221070127]"
0.007623050618950329,0.48672254369500134,168,5,0.15,0.7,0.14863416078211908,50,0.09631429481669022,72,elu,200,EANLP,SGD,"[0.5229338842975206,0.48672254369500134]"
0.00012291925832239186,0.4688115322896914,147,9,0.15,0.7,0.12002810796587045,10,0.07856748424386581,156,tanh,200,Bst6L,SGD,"[0.5888429752066116,0.4688115322896914]"
0.0007128292900504991,0.5338636302093704,54,4,0.15,0.7,0.25319150830520415,100,0.0005359957743681885,170,elu,200,Nmigr,adam,"[0.5840909090909092,0.5338636302093704]"
0.0006085736971928617,0.49171245116283896,46,4,0.15,0.7,0.2424968843798211,100,0.00041327486335280064,184,elu,200,Sn1nt,adam,"[0.5789256198347108,0.49171245116283896]"
0.3535139528309301,0.5497276730473106,52,4,0.15,0.7,0.2086914517722222,100,0.0002890236984327844,167,elu,200,UEdbb,adam,"[0.5109504132231406,0.5497276730473106]"
0.32644080722669805,0.4621458954969172,26,4,0.15,0.7,0.2746165456030532,100,0.009136792906019054,174,elu,200,FksUU,adam,"[0.512603305785124,0.4621458954969172]"
0.49532010896503487,0.5137556026654322,53,5,0.15,0.7,0.20595821362869582,100,0.0021413760350783195,172,elu,200,krzG9,adam,"[0.506301652892562,0.5137556026654322]"
0.0680056300131602,0.5227242961213144,80,3,0.15,0.7,0.21298162530334278,100,0.01302454755996834,140,elu,200,RCXub,adam,"[0.5646694214876032,0.5227242961213144]"
0.14659681968413862,0.4926044304408469,33,6,0.15,0.7,0.11610065707833084,100,0.00015281484162173276,198,relu,200,QjXfw,adam,"[0.522004132231405,0.4926044304408469]"
0.01942972195452251,0.545212868685877,83,4,0.15,0.7,0.2721812738535585,100,0.045034479323152334,169,elu,200,s3zSu,adam,"[0.5247933884297521,0.545212868685877]"
0.01807302115349024,0.49566580096351676,86,5,0.15,0.7,0.28609278651304215,100,0.06936820519240328,157,elu,200,XmewP,adam,"[0.5723140495867769,0.49566580096351676]"
0.17654229124618706,0.5181881624208736,90,3,0.15,0.7,0.29426088512351023,100,0.045919416420290196,122,elu,200,G31jN,adam,"[0.5255165289256197,0.5181881624208736]"
0.038981807724465294,0.5887534701901856,70,3,0.15,0.7,0.21804661007053053,100,0.04341618299140636,179,elu,200,KN9d6,adam,"[0.5357438016528926,0.5887534701901856]"
0.05469458486331919,0.5782216421437901,21,3,0.15,0.7,0.18955882123027554,100,0.06040846218348079,183,relu,200,NZ6cf,adam,"[0.5526859504132231,0.5782216421437901]"
0.006654922307095827,0.5043524322849043,20,3,0.15,0.7,0.11682783518815384,50,0.06332898427815428,189,relu,200,AQuW5,adam,"[0.5535123966942148,0.5043524322849043]"
0.0022577171653563955,0.47983139923640283,68,10,0.15,0.7,0.1807016472327296,30,0.07409546809220882,146,relu,200,XCjdn,adam,"[0.5349173553719008,0.47983139923640283]"
0.04415924571714407,0.5443204651839949,39,3,0.15,0.7,0.14505114492994525,100,0.05951915459556194,184,relu,200,MoWJM,adam,"[0.5363636363636364,0.5443204651839949]"
0.033826213578804644,0.569937217866227,26,7,0.15,0.7,0.22489240611838396,10,0.04283627001030818,102,relu,200,D9F0a,adam,"[0.4981404958677686,0.569937217866227]"
0.007639083782472619,0.49404043320545316,68,3,0.15,0.7,0.07268794194890418,100,0.07123833205175246,199,relu,200,smM1n,adam,"[0.5485537190082643,0.49404043320545316]"
0.18802842759517518,0.5261653766919554,115,2,0.15,0.7,0.10144611758509664,100,0.03925312076229692,110,tanh,200,l5oNt,adam,"[0.5291322314049587,0.5261653766919554]"
0.0036967937256251904,0.4962434012873194,127,6,0.15,0.7,0.17591573655825543,50,0.05718004464971766,89,relu,200,EXjzZ,SGD,"[0.5055785123966943,0.4962434012873194]"
0.013945260157188414,0.5110991369125637,94,2,0.15,0.7,0.30366779709136354,10,0.05082992223855802,36,relu,200,ZymJe,adam,"[0.5192148760330577,0.5110991369125637]"
0.07842980041408226,0.5407384706683882,108,5,0.15,0.7,0.228950508889232,30,0.030303490041040833,129,tanh,200,CYJ8L,adam,"[0.5623966942148761,0.5407384706683882]"
0.0004209489015434696,0.49321045400552466,74,7,0.15,0.7,0.15297052924511867,5,0.0922964617872794,179,relu,200,Tpn9J,adam,"[0.5599173553719009,0.49321045400552466]"
0.001548487238037006,0.4479429487552456,40,3,0.15,0.7,0.3612136427893681,70,0.06294698661783762,160,relu,200,RK7Hj,SGD,"[0.525206611570248,0.4479429487552456]"
0.003909262274311823,0.512782892719314,199,10,0.15,0.7,0.05716398831017758,100,0.03820570410982559,142,tanh,200,ZlqHr,adam,"[0.5677685950413223,0.512782892719314]"
0.03472379625184448,0.5348402181355479,138,2,0.15,0.7,0.3206917384968002,5,0.023321488237735014,150,relu,200,fg5ov,adam,"[0.49132231404958676,0.5348402181355479]"
4.35265599788886e-05,0.46288638259720305,59,3,0.15,0.7,0.13138556995808606,30,0.08194967761926636,193,relu,200,Hu2L2,adam,"[0.5204545454545454,0.46288638259720305]"
0.09805327144730908,0.48632729096440536,29,4,0.15,0.7,0.19156013973369432,70,0.05141768454033813,125,tanh,200,osDEx,SGD,"[0.5307851239669421,0.48632729096440536]"
0.00029834034040875394,0.4848452448598584,11,5,0.15,0.7,0.0857428020937408,10,0.0765421580857916,116,relu,200,aUjdd,adam,"[0.53099173553719,0.4848452448598584]"
0.011424847918261552,0.4822519735119438,45,6,0.15,0.7,0.036965125509481306,50,0.06665461456931433,18,elu,200,Ci5L7,SGD,"[0.5167355371900827,0.4822519735119438]"
1.8546172762414315e-06,0.47607684733063405,156,2,0.15,0.7,0.37378667149300604,100,0.05934972068833192,93,tanh,200,s70pN,adam,"[0.49214876033057847,0.47607684733063405]"
0.0021726817212600956,0.5020986459334308,19,7,0.15,0.7,0.008322125665287172,5,0.03362067726562022,132,elu,200,PfpUA,adam,"[0.552892561983471,0.5020986459334308]"
0.4456818445187941,0.5578456369998835,116,3,0.15,0.7,0.33608733692624887,70,0.01879914038392652,11,relu,200,BsQvT,SGD,"[0.5466942148760331,0.5578456369998835]"
0.2108664520575233,0.511272444133362,62,8,0.15,0.7,0.23342683372932377,100,0.04190057281741863,58,elu,200,PljGB,adam,"[0.5725206611570248,0.511272444133362]"
0.050542695310705286,0.5184384832899288,74,4,0.15,0.7,0.13576555936825344,30,0.08880105626353393,180,relu,200,U8ID0,adam,"[0.5039256198347106,0.5184384832899288]"
0.0010363545637419218,0.49329254482789653,94,2,0.15,0.7,0.3968157161123332,10,0.02636303516234593,152,elu,200,u9hwI,SGD,"[0.5609504132231404,0.49329254482789653]"
