regularization,epochs,dropout,train_frac,optimizer,activation,intermediate,learning_rate,trialJobId,preweight,layer_2,test_frac,layer_1,reward,batch_size
0.03573607537314505,200,0.22892509019255922,0.7,adam,elu,"[0.49772727272727274,0.4968019068774502]",0.48782476932004754,IHezO,8,90,0.15,21,0.4968019068774502,10
0.024504292983067343,200,0.28364084805672546,0.7,SGD,relu,"[0.5685950413223141,0.5524200342509463]",0.022301628975210697,caPkK,5,123,0.15,113,0.5524200342509463,30
0.0003075700429841302,200,0.18068264116677588,0.7,adam,elu,"[0.5211776859504131,0.6064420431740029]",0.007643082892856882,kEXag,7,47,0.15,48,0.6064420431740029,10
0.04627300371440467,200,0.0792064190428038,0.7,SGD,elu,"[0.5435950413223141,0.5956739126614419]",0.027457776206854786,GXt9c,8,28,0.15,30,0.5956739126614419,50
0.008725332018049356,200,0.31053078717571303,0.7,adam,relu,"[0.5580578512396693,0.5001150010538964]",0.00010801684689489966,VK5bP,9,81,0.15,130,0.5001150010538964,100
0.0007377255889346318,200,0.1051704824323681,0.7,adam,elu,"[0.4983471074380166,0.5047189823472118]",0.2882860930022887,phyyi,6,54,0.15,72,0.5047189823472118,30
0.02966630533104804,200,0.27922820353830285,0.7,SGD,relu,"[0.5026859504132231,0.45837494219258046]",0.0004188263928316035,iv4Xg,8,14,0.15,50,0.45837494219258046,100
0.013389681544618925,200,0.2340245214121415,0.7,adam,elu,"[0.48409090909090907,0.5624303417563128]",0.0021263175470273917,b3KVE,10,163,0.15,11,0.5624303417563128,10
0.004440253575127543,200,0.14245341155489732,0.7,adam,elu,"[0.5349173553719008,0.6130073624887715]",0.004234352659692312,NvwDv,2,179,0.15,93,0.6130073624887715,50
0.05198071880698225,200,0.18586648804979036,0.7,SGD,relu,"[0.5392561983471075,0.5582232427374401]",0.0015567237416235027,aCnTA,8,143,0.15,67,0.5582232427374401,5
0.019382797576180884,200,0.3174241073345099,0.7,adam,elu,"[0.5262396694214877,0.5004269593491667]",1.8779334609550928e-05,vLPiW,9,125,0.15,37,0.5004269593491667,100
