,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
eBoIl,5.964837376715883e-05,100.0,0.3664151337678165,adam,tanh,0.04496074099157629,116.0,110.0,0.7,0.15,200.0,36.0,0.7554826529944807,0.07224763296358412,0.8017857142857142,0.032932324270531076
njW3D,0.0004545745957437722,70.0,0.015505446955420644,adam,relu,0.08670973193682435,164.0,97.0,0.7,0.15,200.0,46.0,0.7485229264076891,0.14110276747616332,0.8017857142857142,0.15110257099550373
weS1E,0.40944499415276037,10.0,0.09310655014310912,adam,relu,0.05913371519121588,42.0,196.0,0.7,0.15,200.0,21.0,0.51,0.030000000000000023,0.5,0.0
HAZBw,0.01980031848585036,50.0,0.2457371968262041,adam,tanh,0.010542539582041256,105.0,189.0,0.7,0.15,200.0,47.0,0.8824228242133622,0.022250308911058114,0.8351190476190474,0.02381696312350305
JfcRz,1.9152856092602122e-06,10.0,0.1991158183859049,adam,relu,0.05260871293985551,90.0,159.0,0.7,0.15,200.0,59.0,0.5006266749123892,0.1171669679911826,0.5773809523809523,0.12380380023400314
rG3h0,1.151240527759305e-05,70.0,0.3517853468426316,SGD,tanh,0.04977034772198538,108.0,197.0,0.7,0.15,200.0,18.0,0.4591987734487734,0.18555847779248377,0.5130952380952379,0.19907666682556346
Nu2xg,0.4564382445505788,70.0,0.3366907125989551,adam,relu,0.0012024146443108008,101.0,99.0,0.7,0.15,200.0,64.0,0.5138682745825603,0.04160482374768091,0.5,0.0
VlVLY,2.1945515787301136e-06,50.0,0.2038056107084103,SGD,elu,0.06611227583411033,20.0,113.0,0.7,0.15,200.0,53.0,0.4672528681250764,0.1653121352055186,0.5083333333333333,0.1344553133666238
zkFea,1.4521524050108444e-06,5.0,0.10495127365513746,SGD,tanh,0.07015914858846005,122.0,126.0,0.7,0.15,200.0,57.0,0.5265151515151515,0.15639152064648007,0.5142857142857143,0.11187309582362061
ivSIV,0.08645304429702895,50.0,0.23088315887041683,SGD,elu,0.02893073638728202,47.0,180.0,0.7,0.15,200.0,45.0,0.7266899297492664,0.14138564997714173,0.694047619047619,0.17991951463371544
yDS1J,9.912443368054771e-05,70.0,0.08569900692577335,SGD,elu,0.07946504652262794,179.0,121.0,0.7,0.15,200.0,17.0,0.5302574726860441,0.14381186528646028,0.5434523809523809,0.10959657262049176
V8zaC,0.035116228264828145,100.0,0.2453650353136435,adam,relu,0.043439469723296126,27.0,74.0,0.7,0.15,200.0,20.0,0.8076129508092306,0.10275980071647998,0.7258928571428571,0.13118519618188215
T3PUA,8.672620621596772e-06,5.0,0.2699828603642522,SGD,elu,0.03745221037650722,197.0,15.0,0.7,0.15,200.0,18.0,0.4034831821617536,0.23449432209258736,0.4809523809523809,0.1149842244922588
iavt0,0.2530052993236723,30.0,0.30381075345167086,adam,tanh,0.04860701263566352,177.0,39.0,0.7,0.15,200.0,16.0,0.7692403589184017,0.10580338537305131,0.4321428571428571,0.18804625643129172
qtmDl,0.0009082155968738674,10.0,0.09365693956225725,adam,relu,0.08872016788578341,89.0,89.0,0.7,0.15,200.0,59.0,0.7037671957671957,0.15658275779799907,0.7101190476190476,0.1751264929950715
b3xil,0.0838488103188915,50.0,0.16926153026508728,SGD,relu,0.05855274159448168,88.0,53.0,0.7,0.15,200.0,40.0,0.6531205128366487,0.16192937262742232,0.6797619047619048,0.18014780401802571
IdPSt,0.001549484536789237,5.0,0.23254926669411746,adam,elu,0.026002535532191264,90.0,193.0,0.7,0.15,200.0,25.0,0.894605307751634,0.051456710235516734,0.8422619047619045,0.031186159279594595
NEY0c,0.23490131968683065,70.0,0.20406734570321827,SGD,relu,0.032143374739437645,115.0,144.0,0.7,0.15,200.0,52.0,0.6876602762317049,0.18855851757390196,0.6744047619047618,0.1780359033448551
uZxCW,9.20942224034976e-06,30.0,0.21171418096174346,adam,elu,0.004171411157359528,33.0,54.0,0.7,0.15,200.0,24.0,0.6732872277495642,0.1527381011270877,0.7166666666666667,0.10747962945739681
