layer_2,train_frac,epochs,trialJobId,reward,layer_1,test_frac,intermediate,optimizer,batch_size,activation,learning_rate,dropout,regularization,preweight
81,0.7,200,ToewO,0.5360851351386329,122,0.15,"[0.4815409836065574,0.5360851351386329]",adam,5,tanh,0.0014023232919937944,0.22727425983401445,0.062127793599192405,59
136,0.7,200,I0uca,0.571548884409971,121,0.15,"[0.4922950819672131,0.571548884409971]",adam,5,tanh,0.00019528425793888943,0.2144487231355474,0.09876846977368847,58
81,0.7,200,pEMFA,0.5058647077743323,35,0.15,"[0.4895901639344262,0.5058647077743323]",adam,5,tanh,0.0035948580609821684,0.23825823760300513,0.06134171786713602,38
125,0.7,200,ufEPH,0.5486384979745292,119,0.15,"[0.4937377049180328,0.5486384979745292]",adam,5,tanh,0.00029301889883484117,0.28295285997838654,0.0013135427111715878,68
89,0.7,200,Xg76i,0.5856953856642388,135,0.15,"[0.5176065573770492,0.5856953856642388]",SGD,5,tanh,4.3606792473537505e-05,0.19090563532304913,0.07166131261764626,59
60,0.7,200,xuUJS,0.584154525338025,196,0.15,"[0.5330491803278687,0.584154525338025]",adam,5,tanh,4.231585176261831e-05,0.09006296692044596,0.06875066018805903,62
50,0.7,200,f4Doj,0.511476228440251,183,0.15,"[0.5224918032786885,0.511476228440251]",SGD,5,tanh,5.1839817065938856e-05,0.08954098415191772,0.07311618145616486,63
82,0.7,200,crmNM,0.578050233091599,197,0.15,"[0.5540327868852459,0.578050233091599]",adam,30,tanh,4.587242695025435e-05,0.18899034488609476,0.07309512858056968,65
57,0.7,200,LCnf9,0.5193938167565351,190,0.15,"[0.507016393442623,0.5193938167565351]",SGD,10,tanh,3.817518700565596e-05,0.09178060650750072,0.053483336169817014,44
93,0.7,200,RpWFo,0.578898332277753,166,0.15,"[0.5622622950819672,0.578898332277753]",adam,5,tanh,2.2138375256822422e-05,0.09059464765100686,0.059989869863105394,55
67,0.7,200,tqoot,0.5357292329727709,107,0.15,"[0.5504262295081968,0.5357292329727709]",SGD,5,tanh,0.0005924883926375266,0.16538306538317532,0.06962559327617486,35
101,0.7,200,moCk6,0.5003509044319326,198,0.15,"[0.49036065573770493,0.5003509044319326]",SGD,5,tanh,3.546504679316712e-06,0.062062938127855176,0.07973482573012967,64
