epochs,layer_1,optimizer,activation,test_frac,intermediate,batch_size,trialJobId,train_frac,dropout,layer_2,learning_rate,preweight,reward,regularization
200,26,adam,tanh,0.15,"[0.8996810207336523,0.876987664315197]",5,gXnwe,0.7,0.22836862121649265,131,0.0003930397754232263,28,0.876987664315197,0.04404021227721143
200,46,adam,relu,0.15,"[0.8200956937799043,0.8402015235295364]",70,LhI38,0.7,0.30550248276148767,78,0.018588765988300546,18,0.8402015235295364,0.017755835233137195
200,71,adam,tanh,0.15,"[0.5001594896331738,0.7976870812411577]",5,ItIeR,0.7,0.3984615855569368,103,0.0025595746255288004,12,0.7976870812411577,0.08080672649811511
200,55,adam,relu,0.15,"[0.8920255183413079,0.8760153942429847]",70,xS7IP,0.7,0.34965770893861514,38,0.0001060783159074638,39,0.8760153942429847,0.014217974287868904
200,120,adam,tanh,0.15,"[0.9095693779904306,0.8374941883010557]",30,Sos4L,0.7,0.2835952891990547,52,0.0005600609020978295,50,0.8374941883010557,0.005560821340692058
200,98,adam,relu,0.15,"[0.8736842105263157,0.8625471487193821]",10,Qka4T,0.7,0.0184823066954464,14,0.00015364743431697832,31,0.8625471487193821,0.07289860136779763
200,19,adam,tanh,0.15,"[0.8995215311004783,0.8480580767236479]",70,CDkPb,0.7,0.3942997945779494,162,0.005382000444533565,25,0.8480580767236479,0.03192167604832268
200,86,adam,tanh,0.15,"[0.9149920255183412,0.8360637615376618]",70,i2yMu,0.7,0.18832657335525363,118,7.878346056931058e-06,44,0.8360637615376618,0.02414246795955686
200,36,SGD,elu,0.15,"[0.8814992025518341,0.8667338521885531]",5,sGsoN,0.7,0.3145250574378432,187,0.0011045941754353238,51,0.8667338521885531,0.04594486328988662
200,75,adam,tanh,0.15,"[0.5308612440191387,0.7955536706105091]",30,btWpE,0.7,0.2611714655516062,73,0.023269424961492396,21,0.7955536706105091,0.06103279345831117
200,103,adam,relu,0.15,"[0.8786283891547051,0.8486236931288225]",50,TkzS8,0.7,0.3497548795251343,140,5.209040751638183e-05,36,0.8486236931288225,0.036544031067367824
200,62,SGD,tanh,0.15,"[0.9060606060606059,0.8423339117319217]",70,b9GvM,0.7,0.05591154638161416,89,0.14798565683215584,58,0.8423339117319217,0.014981803562135035
200,44,adam,elu,0.15,"[0.8739234449760767,0.8792434249513417]",10,wzeoy,0.7,0.3753440664033241,161,0.007716847650563549,10,0.8792434249513417,0.00036243160383783724
200,94,SGD,tanh,0.15,"[0.9081339712918661,0.8281186352260514]",70,ceTti,0.7,0.20434755370090077,51,0.0005617164246089518,45,0.8281186352260514,0.024276912033458966
200,113,adam,tanh,0.15,"[0.9011164274322168,0.8910030730058438]",5,UhYkA,0.7,0.23501412902457908,103,0.0016970422022212375,53,0.8910030730058438,0.011271564474790795
200,115,adam,relu,0.15,"[0.8776714513556619,0.8801085209512941]",5,xSiGS,0.7,0.10148217378676264,105,0.0015606389170384628,52,0.8801085209512941,0.009637124624075507
200,164,SGD,elu,0.15,"[0.8942583732057414,0.8757794878950426]",5,V1e2I,0.7,0.14685203028834892,152,0.0036838616035143735,70,0.8757794878950426,0.004796179270097577
200,125,adam,tanh,0.15,"[0.46188197767145134,0.6565608454436139]",5,dMIzl,0.7,0.234851660814194,133,0.21849077747386575,54,0.6565608454436139,0.01041130055911675
200,110,SGD,tanh,0.15,"[0.8948963317384369,0.8856972320278919]",5,ecVb0,0.7,0.27159733083035725,120,0.03353250957542921,64,0.8856972320278919,0.017043680147059162
