activation,intermediate,optimizer,regularization,dropout,trialJobId,train_frac,epochs,test_frac,layer_1,batch_size,layer_2,reward,learning_rate,preweight
elu,"[0.9690476190476192,0.9730592140768091]",adam,0.09964872573060216,0.3040209481593146,TCcti,0.7,200,0.15,74,30,11,0.9730592140768091,0.0001931657050211318,69
tanh,"[0.5208333333333334,0.883313583555965]",adam,0.042355589585368524,0.18429088610118013,pHo91,0.7,200,0.15,196,5,91,0.883313583555965,0.05059543329993165,59
relu,"[0.884672619047619,0.9138355105047712]",SGD,0.03223176220367357,0.24808428226647491,NIhiR,0.7,200,0.15,90,70,115,0.9138355105047712,5.0795087985703105e-05,64
tanh,"[0.9702380952380952,0.9858401339379291]",adam,0.05320759813990478,0.21143800613856914,VNj9Q,0.7,200,0.15,32,30,145,0.9858401339379291,0.0007557866533971154,37
tanh,"[0.5,0.9198418946026024]",adam,0.07372442162565561,0.14937405340382673,wsEpG,0.7,200,0.15,46,10,138,0.9198418946026024,0.014973718218339056,48
tanh,"[0.5081101190476189,0.8482864783449025]",adam,0.013939468698932124,0.024913077022027393,o7Cu4,0.7,200,0.15,126,100,128,0.8482864783449025,0.4745616612651665,30
tanh,"[0.8958333333333333,0.9550501507986823]",adam,0.04670493616520617,0.0006103988493412829,u7CcJ,0.7,200,0.15,42,30,148,0.9550501507986823,0.0023719220028453015,64
tanh,"[0.977827380952381,0.9867994036037737]",adam,0.05099440636821758,0.049031011334102065,Z52To,0.7,200,0.15,26,30,184,0.9867994036037737,0.0001092877648413174,66
tanh,"[0.9797619047619047,0.9911788413743782]",adam,0.03614432161271199,0.038608730153277045,QbxQ7,0.7,200,0.15,80,30,124,0.9911788413743782,0.0005233981951432738,55
tanh,"[0.9742559523809524,0.9925329089990844]",adam,0.025467645348880144,0.059822277957594566,GfpVr,0.7,200,0.15,80,30,111,0.9925329089990844,0.0004678962935489803,58
tanh,"[0.9775297619047618,0.9830435109884093]",adam,0.03563144786861504,0.06402375331871242,RzP3t,0.7,200,0.15,79,30,101,0.9830435109884093,0.000487470359534751,40
tanh,"[0.9767857142857143,0.981312211656778]",adam,0.024456816618910197,0.02824872828443846,wRbkF,0.7,200,0.15,58,30,123,0.981312211656778,3.067453517106856e-05,54
