dropout,train_frac,test_frac,preweight,learning_rate,activation,intermediate,regularization,layer_1,layer_2,optimizer,batch_size,epochs,reward,trialJobId
0.11591459910784743,0.7,0.15,58,4.042862938486116e-05,relu,"[0.6793233082706768,0.6013562836248748]",0.07943128397137977,62,79,SGD,5,200,0.6013562836248748,Nak6K
0.38791457544605057,0.7,0.15,70,0.006760414379828601,relu,"[0.6100250626566417,0.6462057614767893]",0.03379533580736396,42,141,adam,70,200,0.6462057614767893,b9YgE
0.1935659787878711,0.7,0.15,50,0.0003420169883378719,relu,"[0.6989974937343358,0.5797702324317784]",0.07634438589020309,86,199,SGD,30,200,0.5797702324317784,gwRQM
0.03633803137304774,0.7,0.15,40,0.001353901990970892,relu,"[0.7205513784461153,0.5691741807557444]",0.04693679788176034,100,77,SGD,70,200,0.5691741807557444,WfiUE
0.28618837221539445,0.7,0.15,60,0.0073445295784085405,relu,"[0.5337092731829575,0.6390934935919572]",0.03635739771811596,11,98,adam,10,200,0.6390934935919572,ciAbN
0.14701557058416778,0.7,0.15,66,9.687574932971354e-06,relu,"[0.6160401002506265,0.55621466897782]",0.004166265941820641,79,49,SGD,5,200,0.55621466897782,eJ32L
0.3576014798582421,0.7,0.15,52,0.0002045027937690615,relu,"[0.6253132832080202,0.6665860812218398]",0.026020927125457054,124,119,adam,100,200,0.6665860812218398,Wt8T1
0.23049704621554656,0.7,0.15,37,1.057227832087479e-06,tanh,"[0.48909774436090225,0.4681575078563546]",0.06466690480502787,10,153,SGD,50,200,0.4681575078563546,qkiQf
0.0916994859842952,0.7,0.15,32,0.001401865598360695,relu,"[0.5923558897243109,0.6936318002582891]",0.05368611686048562,49,183,adam,5,200,0.6936318002582891,VhcTU
0.09853204119767468,0.7,0.15,29,0.0002641046523854814,elu,"[0.5340852130325814,0.6791803323403323]",0.07731176800589412,51,192,adam,5,200,0.6791803323403323,upLRm
0.16944276735630942,0.7,0.15,24,3.111088124275543e-05,relu,"[0.605263157894737,0.6521729370017056]",0.0899009909840412,66,184,adam,5,200,0.6521729370017056,bWIBH
0.2056458234784685,0.7,0.15,18,6.446314694255519e-05,relu,"[0.5909774436090227,0.6430291311288122]",0.053205540235070486,35,155,adam,5,200,0.6430291311288122,ewieD
0.14607298338183838,0.7,0.15,32,5.586982113368124e-06,elu,"[0.5774436090225564,0.6612726787781495]",0.05840789766189069,106,178,adam,5,200,0.6612726787781495,Fx9Bk
0.0968526424628316,0.7,0.15,26,0.000874314998219703,tanh,"[0.6220551378446115,0.6628664261715937]",0.06126542451376379,92,141,adam,5,200,0.6628664261715937,uFNne
0.277557165778179,0.7,0.15,16,9.831319722602995e-05,relu,"[0.693233082706767,0.6053811764578817]",0.0742622652595186,42,67,adam,30,200,0.6053811764578817,WgvKM
0.07715220405349846,0.7,0.15,37,0.001224149219447491,elu,"[0.7046365914786967,0.6773041057204794]",0.08134475751429056,159,184,adam,5,200,0.6773041057204794,d4C0K
0.2452215035363643,0.7,0.15,44,0.00046312786364272534,relu,"[0.6105263157894736,0.6544320860582408]",0.09759364223308897,139,160,adam,50,200,0.6544320860582408,aRtF8
0.04935777702600136,0.7,0.15,33,0.005887131366682054,tanh,"[0.5,0.611430056503232]",0.08949022705659346,83,17,adam,5,200,0.611430056503232,CZ3lQ
0.3731578844082419,0.7,0.15,56,2.2778494036199534e-06,elu,"[0.6614035087719298,0.6162669150843136]",0.07203463226217459,34,200,adam,30,200,0.6162669150843136,R1BDr
0.3337527468792274,0.7,0.15,23,0.0022222744409340685,relu,"[0.6355889724310776,0.6619509574366369]",0.05132005136638098,55,57,adam,100,200,0.6619509574366369,uA2ce
0.010567241544037001,0.7,0.15,62,1.6973373162587502e-05,relu,"[0.555889724310777,0.6516838523047808]",0.05577637314704734,67,41,adam,5,200,0.6516838523047808,yjRHx
0.262928311953359,0.7,0.15,10,0.02333490943021243,tanh,"[0.5362155388471178,0.6603482153092787]",0.06444705957800011,117,11,adam,50,200,0.6603482153092787,JMCvz
0.14185812032108774,0.7,0.15,29,0.0001243509652189214,elu,"[0.5290726817042606,0.6582491271052835]",0.02314568462535445,47,105,adam,10,200,0.6582491271052835,Z1PbT
0.20827287089947844,0.7,0.15,43,0.14334898119437553,relu,"[0.5236842105263159,0.6223248552013889]",0.08498923188263117,94,121,adam,5,200,0.6223248552013889,rgTD9
0.12049956767370237,0.7,0.15,51,0.052770310909055235,relu,"[0.4956140350877193,0.6551217189791688]",0.03873071686279507,20,134,adam,100,200,0.6551217189791688,ngr3O
0.0009124642320606502,0.7,0.15,68,6.638045639687798e-05,tanh,"[0.6476190476190475,0.6317303400575147]",0.04637680829113495,180,147,adam,5,200,0.6317303400575147,Pedvk
0.17800828965125626,0.7,0.15,47,8.693337809309679e-06,relu,"[0.6141604010025064,0.6744486202539234]",0.018572092892663927,80,175,adam,50,200,0.6744486202539234,tAjVC
0.31407875796745094,0.7,0.15,39,2.9672416459183972e-05,elu,"[0.5150375939849625,0.6657387562692809]",0.0284318225977307,197,30,adam,10,200,0.6657387562692809,i8mCP
0.3986828837211001,0.7,0.15,55,0.010291732002522673,relu,"[0.6012531328320802,0.6516353305467637]",0.09904326662719917,151,163,adam,30,200,0.6516353305467637,xGfRO
0.07073543882332767,0.7,0.15,35,0.28217198839445207,relu,"[0.4786967418546366,0.5543349014583595]",0.042477876595710264,34,73,adam,5,200,0.5543349014583595,GD0RP
